"","GSM3351254","GSM3351255","GSM3351256","GSM3351257","GSM3351258","GSM3351259","GSM3351260","GSM3351261"
"Scrt2",3.5297242426565,3.75101982390124,3.22437881975912,2.68258983549138,4.662561935956,3.49730810557479,4.00827656511516,3.00594664830211
"Scube1",1.98922255820309,2.17885370424754,4.38109081333501,5.19501769885641,2.11724731585225,4.12822537464522,1.011963381396,5.24806787002537
"Scube2",-0.654100167272404,0.197585383256694,0.350627781762019,0.68144000604183,-0.039907979412243,0.776866983622644,1.21576598271153,1.33253205992265
"Scube3",3.60354273323225,4.16768458136955,3.02059315944599,3.69299293402096,4.16995665651224,3.62227452613424,4.0752777188839,3.54713675582835
"Scx",-0.345469797897994,0.964816513566778,1.32555720864291,0.28761678047438,1.90483649235739,0.411683778104533,0.32387306474168,1.52511211452224
"Scyl2",4.93773493658962,4.86999962723154,4.98387168410912,5.1084036383634,4.8721481940903,4.95242368427301,4.53167801088974,5.13448851788082
"Scyl3",4.24615280485718,4.53635228267362,4.18888021812233,4.80088187966579,4.36277468628289,4.27820915585647,4.21256541040905,4.77894587447731
"Sdad1",4.83421449168208,5.04554243271189,5.27131170502242,5.56389578441265,5.31397075625155,5.42304087788377,5.01388038769062,5.60505720056786
"Sdc1",0.312422839134434,0.964816513566778,0.753184452085856,0.0791958624271715,0.227387744072503,-0.179175619513602,1.011963381396,0.695391096490056
"Sdc2",6.76838434527265,6.87521787420768,6.81542974648612,6.85855796543384,6.7374531071841,6.97201122774636,6.40835725085262,6.69793020148988
"Sdc3",5.54583764494114,5.89315634371228,5.91906870207468,5.50599647064967,5.99407120568549,6.06289987805785,5.59615033035377,5.43157781882247
"Sdc4",7.27277596976715,7.1161125742412,6.28068087313506,6.47410812919798,7.03839501810541,7.00538106249442,7.52057872037316,6.78989304515862
"Sdcbp",7.40122735525628,7.49850003495167,7.09492284470115,7.48415310788046,7.70918569508362,7.48169650780512,7.1167891727756,7.38264571445057
"Sdcbp2",1.61388540571404,0.840610422608824,0.497651492792109,1.02969192568442,2.7473032623326,1.61093418130657,1.39430979080414,0.695391096490056
"Sdccag8",5.47385404762204,5.35741658421048,5.28656118613062,5.86148228864805,5.1222617432554,5.45489771158283,5.63219915845291,5.64362414684425
"Sde2",5.73837018283507,5.92217585428441,5.91253061761245,6.31064160414075,6.12261925060402,6.28591625935795,6.08979127223105,6.30384560535503
"Sdf2l1",4.81103100867167,4.36093940824672,4.01668254467311,4.66742404250855,4.92951450408211,4.20516544306293,4.17640009815693,4.23438471818366
"Sdhaf1",5.39808932678571,5.17976693344612,5.48468131177785,5.31292989542019,5.55783416331337,5.24012750640159,5.16302417129646,4.83758564169687
"Sdhd",7.0416821571383,6.89876867668601,7.36532014270637,7.61033426108125,7.04056640207397,7.18263139028864,7.26190872567578,7.54564381955672
"Sdk1",1.20342095656726,0.904049716438418,2.35204018038729,0.950189260978354,1.23798629438812,2.15686474321668,0.898138871338236,1.77296775665084
"Sdk2",3.21342926133014,3.75101982390124,3.99208800471568,4.54084823841372,3.21545490964945,4.23482816879956,3.44496855136068,5.00851334449013
"Sdpr",5.30711921204435,6.00407980619848,6.34764261582868,6.00731981156256,6.11851383385766,5.88100952538939,6.68853488500591,6.18645295455012
"Sdr39u1",6.09254817746913,5.94309187108268,6.11117503484755,6.07564414908029,6.26684797689438,6.09560216397225,5.84682641635947,5.82998167491011
