"ensembl_id","symbol","mean_fpkm","median_fpkm","max_fpkm","min_fpkm","sd_fpkm","cv","detected_samples","ctrl_mean","mor_mean","log2fc_mor_vs_ctrl"
"ENSMUSG00000000567","Sox9",20.8625,19.86,23.76,18.85,2.01274333045367,0.0964766126041302,8,19.48,22.245,0.191478216016912
"ENSMUSG00000000568","Hnrnpd",8.165,8.06,10.59,5.14,1.62494835082754,0.199013882526337,8,8.8225,7.5075,-0.232826316097228
"ENSMUSG00000000579","Dynlt1",1.81125,1.73,2.66,1.28,0.442054860848741,0.244060654712901,8,1.8775,1.745,-0.105527557012331
"ENSMUSG00000000581","C1d",24.085,24.465,29.37,19.1,4.23273636585804,0.175741597087733,8,22.805,25.365,0.153482605705947
"ENSMUSG00000000594","Gm2a",29.62875,28.355,38.42,24.6,4.72249763669305,0.159389027100132,8,32.555,26.7025,-0.285894606607533
"ENSMUSG00000000600","Krit1",11.13,10.795,13.08,9.46,1.3166081964112,0.118293638491572,8,10.45,11.81,0.176490125688052
"ENSMUSG00000000605","Clcn4",93.125,92.515,103.68,87.72,5.36534381803387,0.0576144302607664,8,90.155,96.095,0.0920528719086059
"ENSMUSG00000000627","Sema4f",8.36625,8.295,9.97,6.9,0.970551205685276,0.116007913424208,8,8.155,8.5775,0.0728636309078475
"ENSMUSG00000000628","Hk2",0.69,0.655,1.08,0.42,0.22347898590887,0.323882588273725,8,0.625,0.755,0.272223577288454
"ENSMUSG00000000631","Myo18a",21.42875,19.805,37.17,16.4,6.54471965458742,0.305417705399868,8,22.99,19.8675,-0.210586259413483
"ENSMUSG00000000632","Sez6",95.8375,91.44,167.1,64.3,31.8806178242697,0.332652853259629,8,97.07,94.605,-0.0371086707741072
"ENSMUSG00000000682","Cd52",2.0075,1.725,4.09,0.8,1.20213797639277,0.59882340044472,8,2.27,1.745,-0.379274147077448
"ENSMUSG00000000686","Abhd15",1.37,1.27,1.77,1.1,0.266833281282527,0.194768818454399,8,1.5,1.24,-0.274420861490332
