"SYMBOL","ENSEMBL","ENTREZID"
"P4ha1","ENSMUSG00000019916","18451"
"Pak3","ENSMUSG00000031284","18481"
"Pak4","ENSMUSG00000030602","70584"
"Papss1","ENSMUSG00000028032","23971"
"Patl1","ENSMUSG00000046139","225929"
"Paxip1","ENSMUSG00000002221","55982"
"Pcdha5","ENSMUSG00000103092","12941"
"Pcdha9","ENSMUSG00000103770","192161"
"Pcf11","ENSMUSG00000041328","74737"
"Pde4a","ENSMUSG00000032177","18577"
"Pde9a","ENSMUSG00000041119","18585"
"Pdik1l","ENSMUSG00000050890","230809"
"Pdk1","ENSMUSG00000006494","228026"
"Pdzph1","ENSMUSG00000024227","69239"
"Per1","ENSMUSG00000020893","18626"
"Pex26","ENSMUSG00000067825","74043"
"Pgam2","ENSMUSG00000020475","56012"
"Phf13","ENSMUSG00000047777","230936"
"Phf14","ENSMUSG00000029629","75725"
"Phf20","ENSMUSG00000038116","228829"
"Phf23","ENSMUSG00000018572","78246"
"Phf7","ENSMUSG00000021902","71838"
"Phlda1","ENSMUSG00000020205","21664"
"Pi4k2a","ENSMUSG00000025178","84095"
"Pik3c3","ENSMUSG00000033628","225326"
"Pim3","ENSMUSG00000035828","223775"
"Pink1","ENSMUSG00000028756","68943"
"Pinx1","ENSMUSG00000021958","72400"
"Pip5kl1","ENSMUSG00000046854","227733"
"Pkdrej","ENSMUSG00000052496","18766"
"Pkia","ENSMUSG00000027499","18767"
"Pla2g4e","ENSMUSG00000050211","329502"
"Pla2g7","ENSMUSG00000023913","27226"
"Plcb2","ENSMUSG00000040061","18796"
"Plcl1","ENSMUSG00000038349","227120"
"Pld2","ENSMUSG00000020828","18806"
"Plekhh3","ENSMUSG00000035172","217198"
"Plk3","ENSMUSG00000028680","12795"
"Pmaip1","ENSMUSG00000024521","58801"
"Pmfbp1","ENSMUSG00000031727","56523"
"Pnma8a","ENSMUSG00000041141","71691"
"Pnn","ENSMUSG00000020994","18949"
"Poc1a","ENSMUSG00000023345","70235"
"Polr3h","ENSMUSG00000022476","78929"
"Pomgnt1","ENSMUSG00000028700","68273"
"Pou3f3","ENSMUSG00000045515","18993"
"Ppm1h","ENSMUSG00000034613","319468"
"Ppp1r10","ENSMUSG00000039220","52040"
"Ppp1r12c","ENSMUSG00000019254","232807"
"Ppp1r15b","ENSMUSG00000046062","108954"
"Ppp1r3c","ENSMUSG00000067279","53412"
"Ppp1r3d","ENSMUSG00000049999","228966"
"Ppp2r5b","ENSMUSG00000024777","225849"
"Ppp4r1","ENSMUSG00000061950","70351"
"Ppp6r3","ENSMUSG00000024908","52036"
"Pprc1","ENSMUSG00000055491","226169"
"Ppt1","ENSMUSG00000028657","19063"
"Prdm2","ENSMUSG00000057637","110593"
"Prim2","ENSMUSG00000026134","19076"
"Prkd2","ENSMUSG00000041187","101540"
"Prkn","ENSMUSG00000023826","50873"
"Prpf38b","ENSMUSG00000027881","66921"
"Prr3","ENSMUSG00000038500","75210"
"Prrt3","ENSMUSG00000045009","210673"
"Pskh1","ENSMUSG00000048310","244631"
"Psmb8","ENSMUSG00000024338","16913"
"Psme4","ENSMUSG00000040850","103554"
"Psmf1","ENSMUSG00000032869","228769"
"Pspc1","ENSMUSG00000021938","66645"
"Ptcd3","ENSMUSG00000063884","69956"
"Ptp4a3","ENSMUSG00000059895","19245"
"Ptpn12","ENSMUSG00000028771","19248"
"Ptprf","ENSMUSG00000033295","19268"
"Ptprn","ENSMUSG00000026204","19275"
"Ptprn2","ENSMUSG00000056553","19276"
"Ptpro","ENSMUSG00000030223","19277"
"Purg","ENSMUSG00000049184","75029"
"Pxk","ENSMUSG00000033885","218699"
"Pycr3","ENSMUSG00000022571","66194"
"Pyroxd2","ENSMUSG00000060224","74580"
"Qpctl","ENSMUSG00000030407","67369"
"Rab11b","ENSMUSG00000077450","19326"
"Rab23","ENSMUSG00000004768","19335"
"Rab2a","ENSMUSG00000047187","59021"
"Rab32","ENSMUSG00000019832","67844"
"Rab39b","ENSMUSG00000031202","67790"
"Rab3b","ENSMUSG00000003411","69908"
"Rab3gap1","ENSMUSG00000036104","226407"
"Rabep1","ENSMUSG00000020817","54189"
"Rabgap1l","ENSMUSG00000026721","29809"
"Rabggtb","ENSMUSG00000038975","19352"
"Racgap1","ENSMUSG00000023015","26934"
"Radil","ENSMUSG00000029576","231858"
"Rae1","ENSMUSG00000027509","66679"
"Rassf1","ENSMUSG00000010067","56289"
"Rb1","ENSMUSG00000022105","19645"
"Rbm12b1","ENSMUSG00000046667","72397"
"Rbm12b2","ENSMUSG00000052137","77604"
"Rbm15","ENSMUSG00000048109","229700"
"Rbm28","ENSMUSG00000029701","68272"
"Rbm3","ENSMUSG00000031167","19652"
"Rbm39","ENSMUSG00000027620","170791"
"Rbm5","ENSMUSG00000032580","83486"
"Rcsd1","ENSMUSG00000040723","226594"
"Rdh13","ENSMUSG00000008435","108841"
"Repin1","ENSMUSG00000052751","58887"
"Retreg1","ENSMUSG00000022270","66270"
"Rftn1","ENSMUSG00000039316","76438"
"Rgl2","ENSMUSG00000041354","19732"
