"SYMBOL","ENSEMBL","ENTREZID"
"Hes5","ENSMUSG00000048001","15208"
"Hes6","ENSMUSG00000067071","55927"
"Hivep2","ENSMUSG00000015501","15273"
"Hjurp","ENSMUSG00000044783","381280"
"Hltf","ENSMUSG00000002428","20585"
"Hmcn1","ENSMUSG00000066842","545370"
"Hmgb1","ENSMUSG00000066551","15289"
"Hmgn2","ENSMUSG00000003038","15331"
"Hsd11b1","ENSMUSG00000016194","15483"
"Hspa4l","ENSMUSG00000025757","18415"
"Htt","ENSMUSG00000029104","15194"
"Huwe1","ENSMUSG00000025261","59026"
"Hycc2","ENSMUSG00000038174","213056"
"Icam4","ENSMUSG00000001014","78369"
"Ide","ENSMUSG00000056999","15925"
"Ifit1","ENSMUSG00000034459","15957"
"Ift80","ENSMUSG00000027778","68259"
"Igsf8","ENSMUSG00000038034","140559"
"Ing1","ENSMUSG00000045969","26356"
"Inhba","ENSMUSG00000041324","16323"
"Inhbb","ENSMUSG00000037035","16324"
"Inpp4a","ENSMUSG00000026113","269180"
"Inpp5a","ENSMUSG00000025477","212111"
"Inpp5d","ENSMUSG00000026288","16331"
"Inpp5j","ENSMUSG00000034570","170835"
"Insig1","ENSMUSG00000045294","231070"
"Iqcb1","ENSMUSG00000022837","320299"
"Iqgap2","ENSMUSG00000021676","544963"
"Irak2","ENSMUSG00000060477","108960"
"Ireb2","ENSMUSG00000032293","64602"
"Irf2bp2","ENSMUSG00000051495","270110"
"Itch","ENSMUSG00000027598","16396"
"Itga9","ENSMUSG00000039115","104099"
"Jmjd4","ENSMUSG00000036819","194952"
"Jmjd6","ENSMUSG00000056962","107817"
"Jrk","ENSMUSG00000046380","16469"
"Junb","ENSMUSG00000052837","16477"
"Kcna1","ENSMUSG00000047976","16485"
"Kcnb1","ENSMUSG00000050556","16500"
"Kcnc3","ENSMUSG00000062785","16504"
"Kcnma1","ENSMUSG00000063142","16531"
"Kdm6b","ENSMUSG00000018476","216850"
"Kdsr","ENSMUSG00000009905","70750"
"Kidins220","ENSMUSG00000036333","77480"
"Kif3c","ENSMUSG00000020668","16570"
"Klf15","ENSMUSG00000030087","66277"
"Klf2","ENSMUSG00000055148","16598"
"Klf4","ENSMUSG00000003032","16600"
"Klhl26","ENSMUSG00000055707","234378"
"Klhl29","ENSMUSG00000020627","208439"
"Kmt2c","ENSMUSG00000038056","231051"
"Kpna1","ENSMUSG00000022905","16646"
"Kpna6","ENSMUSG00000003731","16650"
"Kpnb1","ENSMUSG00000001440","16211"
"Krit1","ENSMUSG00000000600","79264"
"Ksr2","ENSMUSG00000061578","333050"
"Lcmt2","ENSMUSG00000074890","329504"
"Lct","ENSMUSG00000026354","226413"
"Leo1","ENSMUSG00000042487","235497"
"Leprotl1","ENSMUSG00000031513","68192"
"Lhfpl4","ENSMUSG00000042873","269788"
"Lin28b","ENSMUSG00000063804","380669"
"Lman2","ENSMUSG00000021484","66890"
"Lman2l","ENSMUSG00000001143","214895"
"Lmbrd2","ENSMUSG00000039704","320506"
"Lonrf3","ENSMUSG00000016239","74365"
"Lrp12","ENSMUSG00000022305","239393"
"Lrrc1","ENSMUSG00000032352","214345"
"Lrrfip1","ENSMUSG00000026305","16978"
"Lrrk2","ENSMUSG00000036273","66725"
"Lrrn2","ENSMUSG00000026443","16980"
"Ltbr","ENSMUSG00000030339","17000"
"Ltn1","ENSMUSG00000052299","78913"
"Luc7l3","ENSMUSG00000020863","67684"
"Lyrm4","ENSMUSG00000046573","380840"
"Lyst","ENSMUSG00000019726","17101"
"Lztr1","ENSMUSG00000022761","66863"
"Madd","ENSMUSG00000040687","228355"
"Maff","ENSMUSG00000042622","17133"
"Maml3","ENSMUSG00000061143","433586"
"Man1a2","ENSMUSG00000008763","17156"
"Man2c1","ENSMUSG00000032295","73744"
"Map10","ENSMUSG00000050930","74393"
"Map2","ENSMUSG00000015222","17756"
"Map3k6","ENSMUSG00000028862","53608"
"Mark1","ENSMUSG00000026620","226778"
"Mark3","ENSMUSG00000007411","17169"
"Masp2","ENSMUSG00000028979","17175"
"Mbd1","ENSMUSG00000024561","17190"
"Mbd5","ENSMUSG00000036792","109241"
"Mcu","ENSMUSG00000009647","215999"
"Meak7","ENSMUSG00000034105","74347"
"Med1","ENSMUSG00000018160","19014"
"Med14","ENSMUSG00000064127","26896"
"Med7","ENSMUSG00000020397","66213"
"Mettl6","ENSMUSG00000021891","67011"
"Mfn2","ENSMUSG00000029020","170731"
"Mical1","ENSMUSG00000019823","171580"
"Midn","ENSMUSG00000035621","59090"
"Mif4gd","ENSMUSG00000020743","69674"
"Miip","ENSMUSG00000029022","28010"
"Mlec","ENSMUSG00000048578","109154"
"Mlh1","ENSMUSG00000032498","17350"
"Mmp28","ENSMUSG00000020682","118453"
"Mon1b","ENSMUSG00000078908","270096"
"Morf4l1","ENSMUSG00000062270","21761"
"Morf4l1b","ENSMUSG00000062270","627352"
"Mpp3","ENSMUSG00000052373","13384"
"Mpp7","ENSMUSG00000057440","75739"
"Mrnip","ENSMUSG00000020381","68067"
"Mroh7","ENSMUSG00000047502","381538"
"Mrpl3","ENSMUSG00000032563","94062"
"Mrpl40","ENSMUSG00000022706","18100"
"Mrps10","ENSMUSG00000034729","64657"
"Mtcl3","ENSMUSG00000038916","67412"
"Mtmr3","ENSMUSG00000034354","74302"
"Mtmr4","ENSMUSG00000018401","170749"
"Mtr","ENSMUSG00000021311","238505"
"Mybbp1a","ENSMUSG00000040463","18432"
"Mycbp2","ENSMUSG00000033004","105689"
"Mycn","ENSMUSG00000037169","18109"
"Myo5a","ENSMUSG00000034593","17918"
"Myo9a","ENSMUSG00000039585","270163"
"Nabp2","ENSMUSG00000025374","69917"
"Nbea","ENSMUSG00000027799","26422"
"Nbr1","ENSMUSG00000017119","17966"
"Ncbp1","ENSMUSG00000028330","433702"
"Ncoa2","ENSMUSG00000005886","17978"
"Ncs1","ENSMUSG00000062661","14299"
"Ndufaf4","ENSMUSG00000028261","68493"
"Ndufs5","ENSMUSG00000028648","595136"
"Necap2","ENSMUSG00000028923","66147"
"Nek11","ENSMUSG00000035032","208583"
"Nemf","ENSMUSG00000020982","66244"
"Neto2","ENSMUSG00000036902","74513"
"Nfat5","ENSMUSG00000003847","54446"
"Nfkbid","ENSMUSG00000036931","243910"
"Nfx1","ENSMUSG00000028423","74164"
"Ninl","ENSMUSG00000068115","78177"
"Nmt1","ENSMUSG00000020936","18107"
"Nop53","ENSMUSG00000041560","68077"
