"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","significant"
5.23209470108521e-51,1.59688501345451,0.252,0.169,1.28050285714359e-46,"8","Fermt3",TRUE
7.82308665401942e-51,0.72091820464965,0.623,0.647,1.91462222770471e-46,"8","Rack1",TRUE
7.93204206401337e-51,0.38627943525549,0.113,0.262,1.94128797474663e-46,"8","4632427E13Rik",TRUE
1.54385614504463e-50,1.5287543258255,0.253,0.17,3.77843352938223e-46,"8","Cmtm7",TRUE
3.4595307164639e-50,0.371144060113661,0.156,0.329,8.46685547547375e-46,"8","Rsbn1l",TRUE
4.98089379374224e-50,0.449713344577977,0.64,0.561,1.21902394708048e-45,"8","Basp1",TRUE
8.98929791199432e-50,0.576594678372621,0.751,0.809,2.20004077098149e-45,"8","Rpl17",TRUE
9.13573139127805e-50,0.497260168677368,0.106,0.25,2.23587890070139e-45,"8","Ino80d",TRUE
1.07372544245359e-49,0.311370565337632,0.196,0.39,2.62783564786092e-45,"8","Rbm26",TRUE
1.85034540986356e-49,0.263969418616899,0.19,0.38,4.52853535610008e-45,"8","Cbx1",TRUE
7.54755303549335e-49,0.578910180609719,0.749,0.803,1.84718812990664e-44,"8","Rplp2",TRUE
1.17419176650097e-48,0.322265482745115,0.16,0.331,2.87371692933449e-44,"8","Med13",TRUE
5.74983490924014e-48,0.494121779386581,0.755,0.801,1.40721459568743e-43,"8","Rpl28",TRUE
7.46269699918041e-48,0.347817088243584,0.156,0.324,1.82642046357941e-43,"8","Smchd1",TRUE
1.06842976479928e-47,0.339862329843692,0.163,0.335,2.61487500636976e-43,"8","Stag1",TRUE
1.26241618649628e-47,0.314335686143044,0.943,0.893,3.089637374831e-43,"8","Actb",TRUE
1.37566057209779e-47,0.27430339019833,0.92,0.914,3.36679168415213e-43,"8","mt-Nd3",TRUE
1.85224789931575e-47,0.881410339810431,0.362,0.265,4.53319150878536e-43,"8","Anxa3",TRUE
3.04140042780137e-47,0.342401482561077,0.135,0.29,7.44352340700108e-43,"8","Setd2",TRUE
3.46747312350723e-47,0.313759546065782,0.204,0.398,8.48629372247158e-43,"8","Zcchc7",TRUE
4.45756611208119e-47,0.461781111050061,0.742,0.781,1.09094473027075e-42,"8","Rpl8",TRUE
