Contrast,Method,TF,Activity_Score,P_value
Control_DLPFC_vs_NAC_full,DoRothEA,ZBED1,-0.5725280593557626,0.5669642819404201
Control_DLPFC_vs_NAC_full,DoRothEA,ELF1,0.5717415285142246,0.5674970954390564
Control_DLPFC_vs_NAC_full,DoRothEA,FOXO4,0.5705392804196842,0.568311988117121
Control_DLPFC_vs_NAC_full,DoRothEA,ELF3,-0.5676561451241322,0.5702684753871176
Control_DLPFC_vs_NAC_full,DoRothEA,MEIS1,0.5550748567819108,0.5788434598019612
Control_DLPFC_vs_NAC_full,DoRothEA,MAFF,0.5540388127008767,0.5795522835803247
Control_DLPFC_vs_NAC_full,DoRothEA,MEF2B,0.5490109847699587,0.5829979113888478
Control_DLPFC_vs_NAC_full,DoRothEA,MAF,0.5365812831459096,0.5915568756543675
Control_DLPFC_vs_NAC_full,DoRothEA,KLF9,-0.5204644908872967,0.6027398710071871
Control_DLPFC_vs_NAC_full,DoRothEA,GATA2,-0.5121606126587506,0.6085386065082694
Control_DLPFC_vs_NAC_full,DoRothEA,NR1H2,-0.5093014617633531,0.6105409334806678
Control_DLPFC_vs_NAC_full,DoRothEA,MYCN,-0.5022570731168086,0.615486700871285
Control_DLPFC_vs_NAC_full,DoRothEA,ZNF592,0.47131951549554685,0.637412581401162
Control_DLPFC_vs_NAC_full,DoRothEA,GRHL2,0.4711931287336845,0.6375028251319996
Control_DLPFC_vs_NAC_full,DoRothEA,IRF2,0.4657695355987838,0.6413804733762041
Control_DLPFC_vs_NAC_full,DoRothEA,TFAP4,-0.4620486433515629,0.6440464377644212
Control_DLPFC_vs_NAC_full,DoRothEA,ATF4,0.4418551145006412,0.6585940529574686
Control_DLPFC_vs_NAC_full,DoRothEA,PRDM1,0.430934648823186,0.6665158889177886
Control_DLPFC_vs_NAC_full,DoRothEA,TFAP2C,0.4302494249277047,0.6670142124453768
Control_DLPFC_vs_NAC_full,DoRothEA,CREB1,-0.42409569499940764,0.6714960249871245
Control_DLPFC_vs_NAC_full,DoRothEA,HNF1B,0.42094488654783996,0.673795327175847
Control_DLPFC_vs_NAC_full,DoRothEA,NFE2L1,0.41475619824406545,0.6783203876920937
Control_DLPFC_vs_NAC_full,DoRothEA,SNAPC4,0.4097170665076691,0.6820135092138563
Control_DLPFC_vs_NAC_full,DoRothEA,NR4A1,0.405949849309089,0.684779449584318
Control_DLPFC_vs_NAC_full,DoRothEA,TFAP2A,-0.4034905962015629,0.6865873512938561
Control_DLPFC_vs_NAC_full,DoRothEA,DUX4,-0.403391154290066,0.6866604930956101
Control_DLPFC_vs_NAC_full,DoRothEA,HIF1A,-0.40285353471210733,0.6870559753948591
Control_DLPFC_vs_NAC_full,DoRothEA,AR,0.38730632614710103,0.6985294427273222
Control_DLPFC_vs_NAC_full,DoRothEA,TEAD4,0.37821121473546,0.7052736950142547
Control_DLPFC_vs_NAC_full,DoRothEA,IRF3,-0.37328670413154924,0.7089350710369152
Control_DLPFC_vs_NAC_full,DoRothEA,NFYA,0.3726680266884684,0.7093955359314259
Control_DLPFC_vs_NAC_full,DoRothEA,TBP,0.3700010781382735,0.7113816870818631
Control_DLPFC_vs_NAC_full,DoRothEA,MYBL2,-0.3435448468188647,0.7311886084716382
Control_DLPFC_vs_NAC_full,DoRothEA,ESRRA,-0.34313846397467523,0.7314942957387329
Control_DLPFC_vs_NAC_full,DoRothEA,ETS1,0.337318518526349,0.7358768011599666
Control_DLPFC_vs_NAC_full,DoRothEA,FOXO3,0.3351642890056982,0.7375011588397424
Control_DLPFC_vs_NAC_full,DoRothEA,EBF1,0.3334854175995578,0.7387678951709598
Control_DLPFC_vs_NAC_full,DoRothEA,ARID3A,-0.3282918307799399,0.7426910203127484
Control_DLPFC_vs_NAC_full,DoRothEA,POU4F2,0.3144991185165049,0.753141985847271
Control_DLPFC_vs_NAC_full,DoRothEA,BCL11A,-0.3131216579037553,0.7541882352422641
Control_DLPFC_vs_NAC_full,DoRothEA,RUNX2,0.31215370010976706,0.7549237171477137
Control_DLPFC_vs_NAC_full,DoRothEA,ATF3,-0.30891909423057307,0.757383071646793
Control_DLPFC_vs_NAC_full,DoRothEA,SMAD3,0.30765917854648256,0.7583416847655972
Control_DLPFC_vs_NAC_full,DoRothEA,TWIST1,0.2986682465661536,0.7651931873395691
Control_DLPFC_vs_NAC_full,DoRothEA,ATF2,0.2950948652976239,0.7679214120669591
Control_DLPFC_vs_NAC_full,DoRothEA,E2F1,0.28685532220679877,0.7742231010987857
Control_DLPFC_vs_NAC_full,DoRothEA,MNT,0.280798697266456,0.7788648028731079
Control_DLPFC_vs_NAC_full,DoRothEA,KDM5B,-0.27025070150501385,0.7869673891172358
Control_DLPFC_vs_NAC_full,DoRothEA,MAZ,-0.2663613303508368,0.7899609436577848
Control_DLPFC_vs_NAC_full,DoRothEA,CREB3L1,-0.2607551634658792,0.7942813228540082
Control_DLPFC_vs_NAC_full,DoRothEA,ELK1,-0.2556937908190623,0.7981872900397127
Control_DLPFC_vs_NAC_full,DoRothEA,ZNF274,-0.2541957981202685,0.7993442966331525
Control_DLPFC_vs_NAC_full,DoRothEA,ELK4,0.23500895410743003,0.8142017834584657
Control_DLPFC_vs_NAC_full,DoRothEA,TCF7L2,0.2259934534149425,0.8212065120441197
Control_DLPFC_vs_NAC_full,DoRothEA,JUND,-0.2236772577642535,0.8230084432835681
Control_DLPFC_vs_NAC_full,DoRothEA,HNF4G,-0.22295288727113555,0.8235721740697627
Control_DLPFC_vs_NAC_full,DoRothEA,E2F5,0.2177845448319001,0.8275969869831933
Control_DLPFC_vs_NAC_full,DoRothEA,TGIF2,0.20977782372615159,0.8338410820515473
Control_DLPFC_vs_NAC_full,DoRothEA,SRF,-0.2079022489368434,0.8353052931433405
Control_DLPFC_vs_NAC_full,DoRothEA,OTX2,0.20731682300681506,0.8357624366871441
Control_DLPFC_vs_NAC_full,DoRothEA,THAP1,0.2064322849533009,0.8364532541401761
Control_DLPFC_vs_NAC_full,DoRothEA,TFDP1,0.20301006198502405,0.8391271676439767
Control_DLPFC_vs_NAC_full,DoRothEA,KLF13,0.19893617975566041,0.8423126677492804
Control_DLPFC_vs_NAC_full,DoRothEA,SMAD4,-0.19738282692338008,0.8435279673954456
Control_DLPFC_vs_NAC_full,DoRothEA,RFX1,-0.19481070302376144,0.8455411430226962
Control_DLPFC_vs_NAC_full,DoRothEA,HINFP,0.18661000195108202,0.8519664240863392
Control_DLPFC_vs_NAC_full,DoRothEA,ELF5,-0.18000202967031176,0.8571509747794942
Control_DLPFC_vs_NAC_full,DoRothEA,CREB3,0.1794628236266024,0.8575743058439568
Control_DLPFC_vs_NAC_full,DoRothEA,PPARA,-0.17358560980508989,0.8621911420340147
Control_DLPFC_vs_NAC_full,DoRothEA,ATF6,0.1562318278361173,0.8758502897753678
Control_DLPFC_vs_NAC_full,DoRothEA,TCF7,0.14246207079720913,0.8867150368665353
