gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
FGFR3,-1.8331227841561712,3.7568769895462375,5.180605636938907e-06,0.0014869791020846448,OUD_vs_Control_Female,True,True,True,True,True,Down
LINC01645,-3.172848422195885,1.2504400301186487,5.208940979230406e-06,0.0014869791020846448,OUD_vs_Control_Female,True,True,True,True,True,Down
SLC15A2,-1.7564300063054745,4.286177617261427,5.212136475833427e-06,0.0014869791020846448,OUD_vs_Control_Female,True,True,True,True,True,Down
AC126177.3,-2.877902068326384,2.1914168624235177,5.296075083418551e-06,0.0014889797478738833,OUD_vs_Control_Female,True,True,True,True,True,Down
SHMT1,1.4911451561356743,5.404027308550237,5.3397183530310335e-06,0.0014889797478738833,OUD_vs_Control_Female,True,True,True,True,True,Up
SRPRB,1.6141149806766064,5.114180361424138,5.382247518603565e-06,0.0014889797478738833,OUD_vs_Control_Female,True,True,True,True,True,Up
TMEM156,-1.3629965100436443,4.882499473756308,5.572674438670524e-06,0.0015059691129656319,OUD_vs_Control_Female,True,True,True,True,True,Down
INPP5D,-1.2567148983654663,6.408889665583883,5.646814242318004e-06,0.0015059691129656319,OUD_vs_Control_Female,True,True,True,True,True,Down
AC079015.1,-3.610638829463197,4.063992382871065,5.661204875733846e-06,0.0015059691129656319,OUD_vs_Control_Female,True,True,True,True,True,Down
CERNA2,4.422992545657267,2.2250248966265325,5.663605178744708e-06,0.0015059691129656319,OUD_vs_Control_Female,True,True,True,True,True,Up
FP475955.1,-2.9058445196133342,1.5429226290762472,5.8260325727358825e-06,0.0015155699534414725,OUD_vs_Control_Female,True,True,True,True,True,Down
AC006059.1,0.9932623205216071,8.806791711745134,5.871393622883142e-06,0.0015155699534414725,OUD_vs_Control_Female,False,True,True,False,True,Up
MED12L,-1.46026334312479,6.399901623526117,5.970467006162823e-06,0.0015155699534414725,OUD_vs_Control_Female,True,True,True,True,True,Down
SOX6,-1.1679007565886694,7.496307472982631,5.973285466958262e-06,0.0015155699534414725,OUD_vs_Control_Female,True,True,True,True,True,Down
AC053513.1,-1.042302821557829,6.082479310425416,5.976396778577444e-06,0.0015155699534414725,OUD_vs_Control_Female,True,True,True,True,True,Down
