gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
AL139379.1,-1.4075583509954697,1.3558468887019266,0.010059904293737043,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
RASGRF1,-0.9652875012345526,4.342143702519782,0.010082916724838072,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
AP000477.3,-1.5849070948268476,4.804617244618032,0.010147538251389945,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
PLA2G4A,-0.8312592914254295,4.30080028554702,0.01026230102519356,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
LCK,-1.457093011769448,-0.3712020209489451,0.010266766424143668,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
RBFOX1,-0.7405763869894806,7.771199077673741,0.010285661732850835,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
COL15A1,-1.1201111604532235,1.3496239659019202,0.010293236769112419,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
AC009396.2,3.6374121000595485,-3.907981496025649,0.010537466673122178,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
DISP3,-0.8575250701499547,2.8158070007214318,0.01071494272103852,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
LINC02568,-1.5266404516328953,-0.4469090482427247,0.010847440117766059,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
MIF-AS1,1.9918461976506732,-1.8050260983388615,0.010864250771915227,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
CYP7A1,-2.4903709742448896,-3.706450676844503,0.010934219557086441,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
KYNU,-0.9396235064449855,3.279744803002968,0.011063854632308273,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
KIF25-AS1,2.030851243972871,-1.0850688416892862,0.01116818941504154,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
IFI27,-1.091104327253237,1.7982922475927494,0.011214171565808532,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
LINC01583,2.748625355025401,-3.8529525987187325,0.01126203962062067,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
SLC6A20,-2.1004669985195217,-0.5571481245333051,0.011338117547042316,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
DSP,-1.5084296804950572,-1.142193774875885,0.011376327310911597,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
HIST1H2AH,1.9794481974370126,-2.3646550416735996,0.011383561081164333,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
LINC01765,-5.664593815492968,-4.581102043181064,0.011472774408791252,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
HPYR1,-1.574583306346713,-0.8054660500503807,0.01152628332115912,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
CFAP299,-1.0757703707857005,1.7124208189012258,0.011585212811609782,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
RPL21,0.7719269255126383,5.720144026420562,0.011613405649573881,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
MYCT1,-1.8229183398096434,-1.0844056632645827,0.011658210121592596,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
AC092422.1,-1.694996349426194,2.467806414088332,0.01167632752895322,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
MAPK15,-1.931386537083723,-2.750628755841532,0.011730770293336593,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
DAW1,-1.4435115597755923,-0.5073472175032611,0.011746365723830011,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
FAM25C,2.0149835786390025,-2.0767291213615753,0.011887477055841655,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
AC073869.5,1.2935543756026038,0.012133828560841442,0.011904280563288502,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
RNF152,-0.843460596404892,3.916238325473589,0.011941546102202537,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
CALN1,-1.0844599513422917,6.809049430410873,0.011970441357180261,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
SLFN12L,-1.0873790209268808,1.534909856033766,0.011975939771354688,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
EXPH5,-0.8024243214307416,2.9238661112027766,0.012145669427793576,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
TRGC1,-1.551508089498996,-1.6393394462259092,0.012173712861676152,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
