gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
ONECUT2,1.849746547208057,1.2782057859617815,0.025352746329459632,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
CRIP1,1.8071939650820303,-1.77575896967682,0.025760038200811235,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
SPC25,-0.936719212076773,2.476314131986255,0.02603203512680891,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
EGFL7,2.258653246498521,0.6206081558988975,0.0261003713861429,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AC005832.1,-2.26327570198656,-1.8181397401203454,0.026328579290484714,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
AL033523.1,-0.9102909387096856,8.340117956566322,0.026704006893468125,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
SLC38A5,1.8105214801581784,-0.7321794693730603,0.026813532234345155,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
ERG,1.4634895592588553,1.7147130364870242,0.027417615470609297,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
DNAH6,0.989821036458759,3.979056504633193,0.027625888294200925,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
TMEM244,1.2164658814538012,0.42075353528707055,0.027799999950881005,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
SLAMF1,3.244599638006742,-2.1857770582749567,0.028137823270553537,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
PALMD,2.070190417187717,0.6638170184499466,0.028666700701122982,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
SLCO6A1,-1.2307788743191659,0.9062677427357538,0.028979120127031775,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
