gene,mean_group1,mean_group2,log_fold_change,abs_log_fold_change,t_statistic,pvalue,padj,significant
PPM1H,4.1769896,4.6205263,0.44353676,0.44353676,-4.030649489608711,5.7708769738108956e-05,0.0001543015233639277,False
OPHN1,1.3313516,1.8191458,0.48779416,0.48779416,-4.006028238296618,6.40098835381253e-05,0.00017069302276833415,False
SOX5,2.1466842,3.3491066,1.2024224,1.2024224,-4.002554151018249,6.494977215864822e-05,0.0001727387557410857,True
ADGRV1,2.3704145,4.6302295,2.259815,2.259815,-3.9968867792044316,6.651114870235536e-05,0.00017642214509908585,True
PCDH7,1.0945158,1.5710379,0.4765221,0.4765221,-3.9641989298361278,7.623354064008626e-05,0.00020167603343938163,False
TF,8.353069,7.551267,-0.80180216,0.80180216,3.9473958972086702,8.1740326671175e-05,0.000215673685148219,True
SH3RF3,1.7235156,0.8728792,-0.8506364,0.8506364,3.9327549870397975,8.684327857043608e-05,0.00022853494360641075,True
ADAMTS9-AS2,0.49099258,0.23439471,-0.25659788,0.25659788,3.9191156087291947,9.186692707584292e-05,0.0002411205435061494,False
BCAS1,8.3445425,9.175792,0.83124924,0.83124924,-3.918211762545629,9.220935546536225e-05,0.0002413857472915242,True
WDFY3,4.796536,4.5202675,-0.27626848,0.27626848,3.914308753210483,9.370193817143698e-05,0.00024438614322861346,False
PTPRE,2.0190759,1.4175818,-0.6014941,0.6014941,3.9139396155789457,9.384427899978757e-05,0.00024438614322861346,False
NEGR1,2.7166924,3.0646503,0.34795785,0.34795785,-3.904958788008494,9.737094077491316e-05,0.00025251191626162356,False
RFFL,3.0235503,3.2797515,0.25620127,0.25620127,-3.9047119932668815,9.74695996769867e-05,0.00025251191626162356,False
PREX2,3.1463308,3.8564312,0.7101004,0.7101004,-3.8858567989557575,0.00010529279840395353,0.0002720744144805001,False
DENND3,0.8077974,0.37365752,-0.43413985,0.43413985,3.867650936792692,0.00011340637143255797,0.00029228446245504634,False
FA2H,3.2491426,3.5730484,0.3239057,0.3239057,-3.8476927494201987,0.00012297751784383387,0.0003161375780047143,False
DAAM2,5.2599297,5.7715373,0.51160765,0.51160765,-3.837506795461463,0.00012815120501075597,0.0003285928333609127,False
PAG1,2.047627,1.6103132,-0.4373138,0.4373138,3.8305036666916883,0.0001318266168863593,0.00033715247285513885,False
IPCEF1,1.6565838,0.9253549,-0.7312289,0.7312289,3.824067192166664,0.00013529209656585787,0.00034513289940269864,True
AC110285.1,2.5952818,2.3113403,-0.2839415,0.2839415,3.810826963865622,0.00014269265878465075,0.0003630856457624701,False
NCOA1,4.4579964,4.2001376,-0.25785875,0.25785875,3.8042429516766787,0.00014651323944546598,0.0003718610138209796,False
MT-ND1,0.8171308,1.0789722,0.26184142,0.26184142,-3.7970448498000233,0.00015080037487395727,0.00038177310094672723,False
MT-ND3,1.884395,2.607077,0.7226819,0.7226819,-3.792438653230293,0.00015360551075782096,0.0003878927039338913,True
RUNX1,2.1387236,1.0667936,-1.07193,1.07193,3.775244647859976,0.00016451671361690718,0.0004143997824103455,True
SLIT2,2.1514409,2.430455,0.2790141,0.2790141,-3.7712064416650293,0.00016718310331217829,0.000420058048523061,False
DOCK1,7.0735617,6.5843573,-0.4892044,0.4892044,3.768820159670287,0.0001687778122808838,0.0004230020357916887,False
HIVEP3,1.7487837,1.4254996,-0.32328415,0.32328415,3.762391513508337,0.00017314550815170746,0.00043286377037926864,False
NPAS3,19.73446,21.662992,1.9285316,1.9285316,-3.7526833930182955,0.00017994341177359513,0.00044873668771470103,True
FGFR2,5.0414433,4.6396966,-0.40174675,0.40174675,3.738094786959274,0.0001906326090747008,0.0004742104703350766,False
IQCA1,0.3864624,0.7021742,0.3157118,0.3157118,-3.724672903494644,0.00020099186442988303,0.0004987391176920175,False
MIR99AHG,8.108801,9.208629,1.0998278,1.0998278,-3.7229781396871804,0.0002023369220347721,0.0005008339654326042,True
HS3ST5,7.228303,7.9601583,0.7318554,0.7318554,-3.70980750164262,0.00021308199551425572,0.0005261283839858166,True
APLP1,2.1648743,1.948628,-0.21624637,0.21624637,3.700387426184787,0.00022109370106274936,0.0005445657661644073,False
CD44,0.41936383,0.07669329,-0.34267053,0.34267053,3.6968792400308104,0.00022414906241224124,0.0005507347970816739,False
HSPA1A,0.81784475,0.36633295,-0.4515118,0.4515118,3.6952642964519495,0.00022556884682684098,0.0005528648206540221,False
MAST4,1.6586213,2.0627103,0.40408897,0.40408897,-3.6917657288476766,0.0002286736518880399,0.0005591042833448409,False
GRIA4,1.9668009,2.3785138,0.41171288,0.41171288,-3.6772010528893486,0.00024203556975579325,0.0005903306579409592,False
LRRC7,5.4067764,6.065914,0.6591377,0.6591377,-3.6759913578545684,0.00024317772475480534,0.0005916732962404024,False
TNRC6A,3.7952907,4.2064533,0.4111626,0.4111626,-3.653421095471548,0.0002654382520308693,0.0006442676020166732,False
FLRT2,0.43052515,0.6977129,0.26718774,0.26718774,-3.6376708522355825,0.00028208983424704386,0.0006830262330436898,False
DPYD,11.113408,10.095588,-1.0178204,1.0178204,3.6341233521847176,0.0002859731453451924,0.000690756389722687,True
TGFBR1,0.8456702,0.4815222,-0.36414802,0.36414802,3.627489813858313,0.00029336946515963014,0.0007069143738786268,False
MT-CO2,2.9874182,3.66407,0.6766517,0.6766517,-3.6225680896178423,0.00029897260532422965,0.0007186841474140136,False
SLC25A13,2.768644,2.9979725,0.2293284,0.2293284,-3.6112347061687418,0.0003122587944554168,0.0007488220490537574,False
NCAM1,13.214796,14.058685,0.84388924,0.84388924,-3.6104327088138732,0.0003132196369168642,0.0007493292749207278,True
DOCK3,5.9908133,6.407003,0.41618967,0.41618967,-3.6034645474145135,0.0003216852907867173,0.000767745324073311,False
RCAN2,2.9089594,3.1690772,0.26011777,0.26011777,-3.6004151175079007,0.0003254570719267946,0.0007748977903018919,False
GTDC1,3.70188,3.9155903,0.21371031,0.21371031,-3.5838507225395926,0.000346679202914167,0.0008234660401761686,False
SP100,0.6301519,0.3649194,-0.26523253,0.26523253,3.581282006133985,0.0003500839819492721,0.0008295828956143889,False
FAM189A2,0.99482095,0.43993366,-0.5548873,0.5548873,3.5793843164076584,0.00035261940506977897,0.0008336156148221726,False
AL392086.3,1.0217377,0.80721897,-0.21451873,0.21451873,3.5772681369005275,0.00035546700746215377,0.0008383655836371552,False
MT-ND4,2.0914261,2.642813,0.55138683,0.55138683,-3.5724032620106034,0.0003620951611078973,0.0008519886143715231,False
PLCL1,15.492744,16.882921,1.3901768,1.3901768,-3.509988020058781,0.00045805529486689134,0.0010752471710490407,True
GRB2,1.0375601,0.8246311,-0.21292901,0.21292901,3.5090500079322564,0.000459663817591428,0.0010764960599330866,False
ARAP2,10.799693,11.61839,0.818697,0.818697,-3.5055639975212256,0.0004656880421895436,0.0010880561733400552,True
EPHB1,0.54522526,0.7996273,0.25440204,0.25440204,-3.481175616190098,0.0005099408384795264,0.0011886732831690593,False
PRKACB,4.5249395,4.7863984,0.26145887,0.26145887,-3.4739508380723643,0.0005237850216241525,0.0012181047014515173,False
AGAP1,16.393772,17.593256,1.1994839,1.1994839,-3.4728309489490123,0.0005259620829186999,0.0012203296587440834,True
DLG1,12.735053,11.74717,-0.9878826,0.9878826,3.4660572819990185,0.0005393109930142752,0.0012484050764219332,True
SPOCK1,12.351939,11.348064,-1.0038748,1.0038748,3.456802436665643,0.0005580606990485015,0.0012888237853314122,True
