"","OUD_Effect_Male_vs_Female_results","OUD_Effect_Putamen_vs_Caudate_results","OUD_vs_Control_Caudate_results","OUD_vs_Control_Female_results","OUD_vs_Control_Male_results","OUD_vs_Control_Putamen_results","Pooled_OUD_vs_Control_results"
"IRF2",-1.30510014111855,0.339619591892943,-0.229317602614914,0.880611637464237,-1.06806792793397,0.344574491671176,0.491656584525936
"ELF1",0.0905834388669606,-0.997891641972727,0.315993224777715,-0.0828328634710253,0.0357775028856472,-0.88951981618935,-0.647017167348131
"USF2",-1.74605033114866,1.79365534289411,-0.529039841061983,0.964397446121189,-1.32868803736338,1.39327717358823,0.312079018216151
"ATF6",-0.814910171525085,-0.413521063922234,0.575110488047528,0.678175315818501,-0.632306456286939,0.114808351540802,0.490579574329279
"IRF8",0.043975950304475,-0.150605079060986,1.10629294642645,0.82644999876492,1.11706846069037,0.805518285931644,1.30659901523337
"ERG",-0.832259158840497,0.93721431136307,0.292183131668943,0.846419976541357,-0.297873177757439,1.07122389709275,0.841893078385664
"CTCF",-0.959039140802029,-0.237011680311745,-0.219714612702041,0.0978168836162673,-0.792281503881531,-0.46087086080707,0.126051206673102
"CREM",1.3406035574324,-0.998973395968257,3.52997156405233e-05,-1.14250971199116,0.927758183499894,-0.984385246971546,-0.895185766793118
"MITF",-1.78301535254009,-1.24037971522951,0.00418310511148934,1.14703517797633,-1.1842895489064,-1.08370556233013,-0.558824935510194
"MYB",1.11454148852097,2.84086735457071,-2.77270214831482,-2.04240207080763,-0.888283523098152,0.0711440620824654,-2.0985769704027
"ETV6",-1.03528629842086,-0.256294062115863,0.951288413802593,1.20280882317145,0.00368235567757386,0.752433838071078,1.18376540782867
"SMAD1",-0.493082862906677,0.550960006714872,2.02106224465216,1.44721043171472,1.07364691805558,2.49571382776868,3.00923946836699
"NEUROD1",0.8167541313752,2.03869981513914,-1.31302475041978,-0.758694791458045,0.379918484442004,0.689604958565374,-0.790033537105576
"REST",-1.75090206630701,0.455997080595424,-0.164326375547896,0.547956530448624,-1.8945493635775,0.289947817022965,0.282351552924147
"FOXA2",0.498585555415795,-1.82345901752844,-3.23776647589835,-2.86449093317384,0.363832592772297,-0.808209982832207,0.0430525448357397
"SNAI1",0.483772141484789,-0.216092320036858,-0.500577626766221,-0.683918959759573,0.562274376922743,-0.204259295246319,-0.178298856691477
"CDX2",2.12630670656348,-0.516432626862303,-1.18431064915422,-2.33287451153669,0.960751474904596,-1.24571365577578,-1.47886657430724
"VDR",-0.361250387302933,-0.863219245061442,0.637456427173942,0.113237279613527,0.244210247919042,-0.301768527951449,0.51628009090667
"GATA2",-0.706013728716077,2.00401565059034,-2.08033188391994,-0.209968262625321,-1.38938142093548,-0.137406973232192,-1.04985401670006
"PRDM1",0.699186115108552,0.271264819354883,-1.63300173094585,-1.44836625641088,-0.560410722253978,-1.15359900005327,-1.44433543314431
"CEBPD",-0.454187399186498,1.43659961165589,0.625943579381666,0.456953839852572,-0.011819293656047,2.04447871731299,2.09208860230018
"KLF4",-2.06023958581822,1.14865478805261,2.56273571328898,2.44993622997706,-0.459810894815429,3.07929834166351,3.13086288583197
"TFDP1",-0.659481588364353,-0.17660005189895,-0.477200632942294,0.223682924679989,-0.764438732543698,-0.666956912965301,-0.741460180046466
"TBX21",0.753782237958174,1.30384095535391,-0.130117605246547,-0.598249225794347,1.36234800293606,0.452410677282328,0.058233342135993
"GABPA",0.366194353288421,-0.373789849871906,0.192146398000592,-0.169614259172049,0.333087356071216,-0.235241640457729,-0.059642515572434
"ELF3",-0.48703303663677,-0.852815858778691,0.123203264100736,0.0670896069028134,-0.343275567266519,-0.337417780342782,0.315785231669444
"JUND",1.03990235532769,1.01124781465324,-1.1748493009093,-0.972546944697538,-0.100852773314237,-0.39030861472016,-1.10517481473674
"FOXO4",0.664872349731141,-1.74000998839579,0.215735923152865,-0.654724656698908,0.37578351574071,-1.19577724761401,-0.646017050638383
"SPIB",0.597248645761708,-0.319997478625563,-0.663080890122018,-0.700965133181385,0.104707403097124,-0.909766558367929,-1.17878427403616
"BMAL1",-0.409021780129548,-0.811382642719306,0.866971254610598,0.6690574179475,0.186484716339443,0.156917360625573,0.612229004767639
"CLOCK",-0.267155549436038,0.632223361955,-0.836748067864166,-0.202676478313913,-0.644014243333308,-0.276743986976136,-0.622266465956734
"NR1H3",0.105089917042467,0.116986823089073,-0.0204702934067594,0.0799744133625746,0.23358854028436,0.121103325369087,0.0179638131002887
"KLF5",-2.15534870592328,0.0417865191220475,1.95093880498672,2.38622962557799,-0.228285293174595,2.05177938902887,2.26839400525253
"SOX10",0.794141153599667,-1.49024504840839,-0.757666431746472,-1.28768861984644,-0.348137461089491,-2.17403450094441,-1.8254693294127
"GATA1",0.805344958458193,-1.54459860788133,-0.808862000212607,-1.05662473931914,0.0189110801286632,-1.51514586238521,-1.49144359608527
"ZEB1",-0.452318225982596,0.118620972337038,0.363823182569764,0.698629813406319,0.251221866320887,0.688040242716449,0.494675481339426
"NFE2L2",-1.24745549054001,0.718705476826538,0.899819093118836,1.54362925334416,-0.137218568274665,1.69918575149742,1.77031677531253
"FOXA1",-1.65296464138318,2.02283714948495,-2.92423549309717,-0.680803958876136,-2.56614711141409,-0.0515381786067679,-1.38326626609363
"HES1",0.38543194030152,-0.880838901713013,-0.0531160845955854,-0.493968611359024,-0.0403221948070262,-0.94718018840125,-0.528356979816301
"NFYB",-0.985173865604204,0.441075250407801,-1.05525998043477,-0.0914128482476615,-1.41454814618492,-0.357563213401216,-0.706684054091148
"SP4",-0.0720634117278869,-0.552996005268411,-0.55908709097141,-0.329175358070891,-0.562635102069343,-0.98900799596851,-0.896423693648739
"TAL1",0.326450085841064,-0.282896728328531,-0.379630573486524,-0.00524102960425831,0.264941608294112,-0.523329220955549,-0.441638008184069
"NR3C1",-0.911503542758395,0.113358340297696,1.63961921246573,1.81378170865767,0.75781918144363,1.66594629448174,1.56484878463077
"NR1H2",0.257591973243528,-0.0387976158121817,-0.578334787632894,-0.699815198301939,-0.294224919637377,-0.539889722366572,-0.610923166320338
"FOXP1",-1.44359834153386,0.554247734995955,-0.0210168370853174,1.19984899361065,-0.83630087916383,0.191877686268043,-0.105322262429792
"NR4A1",-0.118763518883413,0.354799487784326,0.659744368750174,0.643972479325397,0.748424637539496,1.09262767528154,1.13447488252794
"NFYA",-0.669458908342315,1.34423616887741,-0.30536979251718,0.629281271094985,-0.657103627388469,0.397404949657579,-0.199707633090476
"STAT5B",-0.694486305952388,-1.07364568878391,1.56441627381012,0.746091721656821,-0.0251982341723839,-0.107743872495092,0.459349895086305
"FOXM1",0.308829291221437,-0.137624245651205,-0.593388568267024,-0.938490489144862,-0.40004050452997,-0.210339123388953,-0.447977091017834
"TWIST1",1.75627375742087,0.574685543713996,-1.99067386047013,-2.95844350900104,-1.22773975353246,-2.01334926384838,-2.54259900849546
"CEBPG",1.61118001030513,-0.621312846994481,0.90658164026645,-0.604731370704481,1.62422166208265,0.0211168112275184,0.663786069552046
"NR2F1",-1.01817409924772,-1.35493347961761,0.7008263436711,0.495681545722806,-1.08458040748858,-0.710937414748202,0.0991661792988824
"SNAI2",-0.833800392795588,0.30542420434092,0.122487091985065,0.879772809679974,-0.179130195667226,0.522230995014858,0.577038993368112
"NFE2",-0.621816601671362,-0.930497444519736,0.534942004416135,0.585282064240673,-0.280266489822542,-0.314821578910458,0.278642532340916
"MAF",0.164741715011093,-0.175243425961577,-0.149510444902062,-1.18467450331247,-0.0319194732972074,-1.18449888556978,-0.908650464316208
"NR2F2",2.09009199070302,1.98251012747355,-0.532885722784852,-1.18492604982372,2.29614370060004,1.0813676782367,0.0790152348798952
"PBX2",-0.311615518975162,-0.0758239665793248,0.667526671585827,1.05164890854404,0.373513914139276,1.32687925301689,1.80872861333211
"EBF1",-0.0442218830922422,-0.986568249675797,-0.0979888376738595,-0.157064414818606,-0.515533332470607,-1.12412273532683,-0.657675501994859
"MAFG",0.481640336155418,-0.41574327121212,0.534134737641845,-0.148822948296066,0.621919866132443,0.341143023146031,0.613987579065738
"MAFK",0.815401326943535,-0.715324240168238,-0.179290515525938,-0.673242889209354,0.412148678037118,-0.933805038764522,-0.529776469846344
"BCL6",-1.02116402144307,0.626229252187065,0.358851362463275,1.18635221967838,-0.123390086365049,1.01184379941537,0.885823170172855
"BACH1",-0.534509594550037,-0.791740221316328,-0.374471897842041,0.0454414354612661,-0.674268406587667,-0.985194190361469,-0.988287982122626
"E2F2",1.01899324220396,0.904062153429365,-0.370002969574064,-0.761995212464585,0.556004423814243,0.386281351588182,-0.130937455020666
"NFKB2",-3.79992976919538,0.0835763947740909,1.61034463023108,4.9366918238344,0.119893271280727,1.93931756332201,2.32380297859611
"TCF3",-2.02103305948558,0.48392158144767,0.669032103932969,2.02688491835997,-0.674956195644763,1.19239617217171,1.32070672080872
"ZEB2",-0.675071539003942,-0.3467662846691,0.0467739765751062,0.249898397965549,-0.371863034509359,0.0592265278551669,0.401463888090821
"NFATC1",0.321284551355958,-1.00534160848794,0.487352071646639,0.41550638270978,1.37973807986735,0.249084563680678,0.478861896598187
