"analysis","statistic","source","condition","score","p_value"
"OUD_Effect_Male_vs_Female_results_ulm","ulm","KLF13","OUD_Effect_Male_vs_Female_results",-3.9277159049317,8.5975363076968e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ARNT","OUD_Effect_Male_vs_Female_results",-3.92515185935822,8.68957783102909e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","AHR","OUD_Effect_Male_vs_Female_results",-3.87182824485718,0.000108283306077453
"OUD_Effect_Male_vs_Female_results_ulm","ulm","TFAP2A","OUD_Effect_Male_vs_Female_results",-3.86503754426684,0.000111338959051584
"OUD_Effect_Male_vs_Female_results_ulm","ulm","NFYB","OUD_Effect_Male_vs_Female_results",-3.84040761149389,0.000123118252901401
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ZNF384","OUD_Effect_Male_vs_Female_results",-3.83758869776224,0.000124538941832637
"OUD_Effect_Male_vs_Female_results_ulm","ulm","KLF9","OUD_Effect_Male_vs_Female_results",-3.82380505635939,0.000131711009049071
"OUD_Effect_Male_vs_Female_results_ulm","ulm","NFYA","OUD_Effect_Male_vs_Female_results",-3.79035392585,0.000150768549901002
"OUD_Effect_Male_vs_Female_results_ulm","ulm","GATA3","OUD_Effect_Male_vs_Female_results",-3.78197666642799,0.000155932343275785
"OUD_Effect_Male_vs_Female_results_ulm","ulm","KLF6","OUD_Effect_Male_vs_Female_results",-3.7298905411761,0.000191965435555946
"OUD_Effect_Male_vs_Female_results_ulm","ulm","MEF2A","OUD_Effect_Male_vs_Female_results",-3.71917520665321,0.000200289785905716
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ELF1","OUD_Effect_Male_vs_Female_results",-3.66992968827317,0.000243096812118601
"OUD_Effect_Male_vs_Female_results_ulm","ulm","CREB3L1","OUD_Effect_Male_vs_Female_results",-3.6696350045926,0.000243377059858161
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ZEB1","OUD_Effect_Male_vs_Female_results",-3.62796855278093,0.000286200914344735
"OUD_Effect_Male_vs_Female_results_ulm","ulm","EBF1","OUD_Effect_Male_vs_Female_results",-3.62381559768386,0.000290835885399734
"OUD_Effect_Male_vs_Female_results_ulm","ulm","SMAD1","OUD_Effect_Male_vs_Female_results",-3.61107323608563,0.000305499882223183
"OUD_Effect_Male_vs_Female_results_ulm","ulm","TEAD4","OUD_Effect_Male_vs_Female_results",-3.6109992298654,0.000305587036587041
"OUD_Effect_Male_vs_Female_results_ulm","ulm","REL","OUD_Effect_Male_vs_Female_results",-3.60934011983067,0.000307547031295221
"OUD_Effect_Male_vs_Female_results_ulm","ulm","SREBF2","OUD_Effect_Male_vs_Female_results",-3.51580395939795,0.000439162687436488
