gene,logFC,PValue,t_stat,contrast,oud_mean,ctrl_mean,n_oud,n_ctrl,FDR,significant_nominal,significant_strict,significant,direction
AL365214.4,1.7477894413709525,0.0045456225831855745,4.404626707744861,Pooled_OUD_vs_Control,9.842542052268982,2.9306923523545265,4,4,0.7426986331355621,True,False,True,Up
RPS12,1.1268159476064643,0.0031263805111493045,4.760002039742845,Pooled_OUD_vs_Control,5840.989501953125,2674.7366333007812,4,4,0.7426986331355621,True,False,True,Up
HGC6.3,2.4863387802580927,0.004789259352392545,4.356382337915273,Pooled_OUD_vs_Control,47.05071401596069,8.396603897213936,4,4,0.7426986331355621,True,False,True,Up
KIF25-AS1,2.9268164957551717,0.002475605671362853,4.990523079649425,Pooled_OUD_vs_Control,110.51235580444336,14.532866358757019,4,4,0.7426986331355621,True,False,True,Up
KIF25,2.620851696408928,0.0058174565676901695,4.179387067289999,Pooled_OUD_vs_Control,1332.7574310302734,216.66868019104004,4,4,0.7426986331355621,True,False,True,Up
AC073270.2,1.2450803197850062,0.007134663835678335,3.9980680363952183,Pooled_OUD_vs_Control,26.166661739349365,11.039306640625,4,4,0.7426986331355621,True,False,True,Up
STEAP1,1.4061950861742751,0.0012570241610724694,5.702790823342991,Pooled_OUD_vs_Control,52.967453956604004,19.984910011291504,4,4,0.7426986331355621,True,False,True,Up
AC003086.1,1.1159917236533394,0.005587139080505555,4.215803586316443,Pooled_OUD_vs_Control,46.40859794616699,21.411715507507324,4,4,0.7426986331355621,True,False,True,Up
ASB4,0.8987964747862546,0.0031486477144936492,4.75310270096664,Pooled_OUD_vs_Control,195.12482833862305,104.65207290649414,4,4,0.7426986331355621,True,False,True,Up
DLX5,1.6293681888150469,0.000630168379109121,6.502037887717528,Pooled_OUD_vs_Control,34.50913715362549,11.15437912940979,4,4,0.7426986331355621,True,True,True,Up
AC007938.1,1.062240670370323,0.008007643391859165,3.897435921050425,Pooled_OUD_vs_Control,16.277096271514893,7.794901430606842,4,4,0.7426986331355621,True,False,True,Up
AC005229.5,1.0595927599256665,0.003675932802816819,4.604157520039699,Pooled_OUD_vs_Control,46.86662578582764,22.485082387924194,4,4,0.7426986331355621,True,False,True,Up
FAM86B2,0.8592142130941974,0.006827047590711136,4.036849695490824,Pooled_OUD_vs_Control,31.914893627166748,17.593172073364258,4,4,0.7426986331355621,True,False,True,Up
RPS20,0.856657180349217,0.00649813601529436,4.080539253907566,Pooled_OUD_vs_Control,4567.1962890625,2522.1456909179688,4,4,0.7426986331355621,True,False,True,Up
AL596451.1,2.1456141273377862,0.009389171721901755,3.760846872681661,Pooled_OUD_vs_Control,13.257034659385681,2.996071547269821,4,4,0.7426986331355621,True,False,True,Up
RPS6,1.0334002183919073,0.008129649705870195,3.8843524979505335,Pooled_OUD_vs_Control,6365.358154296875,3109.8424072265625,4,4,0.7426986331355621,True,False,True,Up
TXNDC8,1.6045439565020465,0.009580969278943197,3.743667461183092,Pooled_OUD_vs_Control,102.93134689331055,33.84790515899658,4,4,0.7426986331355621,True,False,True,Up
RPL35,0.7810396381482431,0.0023187777683598893,5.056459544739662,Pooled_OUD_vs_Control,4688.789306640625,2728.628173828125,4,4,0.7426986331355621,True,False,True,Up
