gene,logFC,PValue,t_stat,contrast,oud_mean,ctrl_mean,n_oud,n_ctrl,FDR,significant_nominal,significant_strict,significant,direction
CLEC17A,-2.4677320331317305,0.0030877920002121274,-17.954297094179193,OUD_vs_Control_Female,100.99051666259766,558.6527709960938,2,2,0.9999722821216691,True,False,True,Down
KIRREL3-AS3,-0.6737949423205333,0.0031384424264120775,-17.80814917831787,OUD_vs_Control_Female,1.2280739173293114,1.9591017663478851,2,2,0.9999722821216691,True,False,True,Down
AC002480.1,-1.6776967186095422,0.0031419513953311533,-17.79815521114098,OUD_vs_Control_Female,92.65865707397461,296.43060302734375,2,2,0.9999722821216691,True,False,True,Down
AC011139.1,-4.783965090792708,0.003158537106555333,-17.75114236445461,OUD_vs_Control_Female,6.637375116348267,182.8577423095703,2,2,0.9999722821216691,True,False,True,Down
SUCNR1,-1.332347816401308,0.003219146682580794,-17.58243822476435,OUD_vs_Control_Female,156.07401275634766,393.0133056640625,2,2,0.9999722821216691,True,False,True,Down
CEBPE,-3.283002552761999,0.0032486249183417606,-17.502095917934763,OUD_vs_Control_Female,1.1532891169190407,11.225881099700928,2,2,0.9999722821216691,True,False,True,Down
FRG2C,0.694817971856458,0.003306300934826944,17.348015315592363,OUD_vs_Control_Female,4.885774612426758,3.0183693170547485,2,2,0.9999722821216691,True,False,True,Up
SMIM25,1.4598964583110656,0.003451390373692493,16.977607907944783,OUD_vs_Control_Female,33.84962272644043,12.304988384246826,2,2,0.9999722821216691,True,False,True,Up
AC008738.2,-2.7199821769236423,0.003494853608803681,-16.871155655963268,OUD_vs_Control_Female,12.589486837387085,82.94768142700195,2,2,0.9999722821216691,True,False,True,Down
LINC02642,-3.8615990759725003,0.003495008112877435,-16.87078077669463,OUD_vs_Control_Female,168.49675750732422,2449.337890625,2,2,0.9999722821216691,True,False,True,Down
WEE2-AS1,-1.1086435869041407,0.0035652759235988373,-16.702816915994777,OUD_vs_Control_Female,164.62831115722656,355.0091094970703,2,2,0.9999722821216691,True,False,True,Down
AC008734.1,1.695245243576703,0.0037493684530446637,16.28534689037034,OUD_vs_Control_Female,4.377763986587524,1.351862981915474,2,2,0.9999722821216691,True,False,True,Up
LINC01375,-3.2505358974880787,0.0038899471167246273,-15.986678139756728,OUD_vs_Control_Female,51.47295570373535,489.8779754638672,2,2,0.9999722821216691,True,False,True,Down
CFHR4,-1.602359816942169,0.004028757739441021,-15.70721109115313,OUD_vs_Control_Female,1.2119761854410172,3.6800392866134644,2,2,0.9999722821216691,True,False,True,Down
AP000439.2,-2.1990753016248976,0.004029661611473675,-15.705438694686016,OUD_vs_Control_Female,46.012088775634766,211.28057861328125,2,2,0.9999722821216691,True,False,True,Down
CU634019.2,-4.2451689946745015,0.004143053000782621,-15.48770277791465,OUD_vs_Control_Female,2.106007993221283,39.93771553039551,2,2,0.9999722821216691,True,False,True,Down
CSHL1,-1.2247831080714255,0.004188547667365121,-15.402833757079717,OUD_vs_Control_Female,1.1746012046933174,2.7452815771102905,2,2,0.9999722821216691,True,False,True,Down
BATF2,0.8329242416100683,0.004201161657748672,15.379546651047404,OUD_vs_Control_Female,105.50236892700195,59.22799491882324,2,2,0.9999722821216691,True,False,True,Up
IFI30,1.4701701068829172,0.00427221003262869,15.250310136555438,OUD_vs_Control_Female,303.1614532470703,109.42301559448242,2,2,0.9999722821216691,True,False,True,Up
LINC01116,-1.5610521452494392,0.004440905337799244,-14.955949410029378,OUD_vs_Control_Female,2.865861654281616,8.456268072128296,2,2,0.9999722821216691,True,False,True,Down
ADCY6-DT,-1.8529302221556134,0.004460561628541947,-14.922738802476935,OUD_vs_Control_Female,1.7117576897144318,6.183435916900635,2,2,0.9999722821216691,True,False,True,Down
AC010896.1,-0.9822584718860307,0.004466074820526816,-14.913463205594889,OUD_vs_Control_Female,39.123775482177734,77.29119491577148,2,2,0.9999722821216691,True,False,True,Down
LINC02123,-3.6769269807969143,0.00446731596006524,-14.911377429725214,OUD_vs_Control_Female,2.7910154163837433,35.69665718078613,2,2,0.9999722821216691,True,False,True,Down
INKA1,-1.8297880677390406,0.004527296108523732,-14.81160112121405,OUD_vs_Control_Female,51.57879829406738,183.3548126220703,2,2,0.9999722821216691,True,False,True,Down
AF127936.1,-2.9497790766355023,0.0045533243540565125,-14.768916701115453,OUD_vs_Control_Female,74.3056755065918,574.1084899902344,2,2,0.9999722821216691,True,False,True,Down
LINC01924,1.9135888210037622,0.004665436484100115,14.589153033734735,OUD_vs_Control_Female,737.0829467773438,195.64498901367188,2,2,0.9999722821216691,True,False,True,Up
AC138647.1,1.4599280390646765,0.00476809115087619,14.430132677471489,OUD_vs_Control_Female,6.231462240219116,2.2652066946029663,2,2,0.9999722821216691,True,False,True,Up
AC046195.1,-2.361070957933205,0.004791604925838078,-14.394427464785318,OUD_vs_Control_Female,300.22947692871094,1542.4337158203125,2,2,0.9999722821216691,True,False,True,Down
LINC02442,-1.3668851712872203,0.0047959786717144525,-14.387814926997317,OUD_vs_Control_Female,2.3948166370391846,6.176546335220337,2,2,0.9999722821216691,True,False,True,Down
CLDN23,-0.9533890619126006,0.004865926944720775,-14.283273737042617,OUD_vs_Control_Female,3.0527936220169067,5.9114789962768555,2,2,0.9999722821216691,True,False,True,Down
FRRS1,-2.1975945734273132,0.004954176317353844,-14.154544951438298,OUD_vs_Control_Female,149.7270278930664,686.8186645507812,2,2,0.9999722821216691,True,False,True,Down
TRBVB,1.0149193463175439,0.005174749297981955,13.847287596973434,OUD_vs_Control_Female,2.954547643661499,1.4620756059885025,2,2,0.9999722821216691,True,False,True,Up
AQP5,-0.718080911029729,0.005227169701143945,-13.777134266633416,OUD_vs_Control_Female,24.465933799743652,40.24627494812012,2,2,0.9999722821216691,True,False,True,Down
AC114802.1,-1.247634741615553,0.0052278249062458464,-13.77626408185197,OUD_vs_Control_Female,1.19134371727705,2.828867197036743,2,2,0.9999722821216691,True,False,True,Down
AC215217.1,-3.5695874937589163,0.005259069387418517,-13.734956428446289,OUD_vs_Control_Female,13.833672881126404,164.2443389892578,2,2,0.9999722821216691,True,False,True,Down
LINC01268,-2.4968029221417147,0.005297661556918878,-13.68443854176029,OUD_vs_Control_Female,449.2256317138672,2535.5787353515625,2,2,0.9999722821216691,True,False,True,Down
