Node,Degree,Betweenness,Closeness,PageRank
ZNF175,2,0,NA,6.552127767160407e-4
ZNF181,1,0,NA,6.513202146393881e-4
ZNF184,1,0,NA,6.513202146393881e-4
ZNF19,1,0,NA,6.513202146393881e-4
ZNF200,1,0,NA,6.513202146393881e-4
ZNF205,1,0,NA,6.513202146393881e-4
ZNF222,1,0,NA,6.513202146393881e-4
ZNF226,1,0,NA,6.513202146393881e-4
ZNF227,1,0,NA,6.513202146393881e-4
ZNF23,1,0,NA,6.513202146393881e-4
ZNF230,1,0,NA,6.513202146393881e-4
ZNF235,1,0,NA,6.513202146393881e-4
ZNF25,1,0,NA,6.513202146393881e-4
ZNF251,1,0,NA,6.513202146393881e-4
ZNF254,1,0,NA,6.513202146393881e-4
ZNF267,1,0,NA,6.513202146393881e-4
ZNF268,1,0,NA,6.513202146393881e-4
ZNF273,1,0,NA,6.513202146393881e-4
ZNF282,1,0,NA,6.513202146393881e-4
ZNF302,1,0,NA,6.513202146393881e-4
ZNF311,1,0,NA,6.513202146393881e-4
ZNF331,1,0,NA,6.513202146393881e-4
ZNF333,1,0,NA,6.513202146393881e-4
ZNF337,1,0,NA,6.513202146393881e-4
ZNF33B,1,0,NA,6.513202146393881e-4
ZNF343,1,0,NA,6.513202146393881e-4
ZNF354A,1,0,NA,6.513202146393881e-4
ZNF367,1,0,NA,6.513202146393881e-4
ZNF398,1,0,NA,6.513202146393881e-4
ZNF41,1,0,NA,6.513202146393881e-4
ZNF417,1,0,NA,6.513202146393881e-4
ZNF418,1,0,NA,6.513202146393881e-4
ZNF419,1,0,NA,6.513202146393881e-4
ZNF425,1,0,NA,6.513202146393881e-4
ZNF460,1,0,NA,6.513202146393881e-4
ZNF490,1,0,NA,6.513202146393881e-4
ZNF510,1,0,NA,6.513202146393881e-4
ZNF519,1,0,NA,6.513202146393881e-4
ZNF529,1,0,NA,6.513202146393881e-4
ZNF546,1,0,NA,6.513202146393881e-4
ZNF550,1,0,NA,6.513202146393881e-4
ZNF567,1,0,NA,6.513202146393881e-4
ZNF585A,1,0,NA,6.513202146393881e-4
ZNF589,1,0,NA,6.513202146393881e-4
ZNF596,1,0,NA,6.513202146393881e-4
ZNF599,1,0,NA,6.513202146393881e-4
ZNF613,1,0,NA,6.513202146393881e-4
ZNF619,1,0,NA,6.513202146393881e-4
ZNF630,1,0,NA,6.513202146393881e-4
ZNF655,1,0,NA,6.513202146393881e-4
ZNF669,1,0,NA,6.513202146393881e-4
ZNF670,1,0,NA,6.513202146393881e-4
ZNF680,1,0,NA,6.513202146393881e-4
ZNF689,1,0,NA,6.513202146393881e-4
ZNF713,1,0,NA,6.513202146393881e-4
ZNF721,1,0,NA,6.513202146393881e-4
ZNF746,1,0,NA,6.513202146393881e-4
ZNF764,1,0,NA,6.513202146393881e-4
ZNF777,1,0,NA,6.513202146393881e-4
ZNF778,1,0,NA,6.513202146393881e-4
ZNF782,1,0,NA,6.513202146393881e-4
ZNF786,1,0,NA,6.513202146393881e-4
ZNF79,1,0,NA,6.513202146393881e-4
ZNF8,1,0,NA,6.513202146393881e-4
ZNF81,1,0,NA,6.513202146393881e-4
ZNF84,1,0,NA,6.513202146393881e-4
ZNF860,1,0,NA,6.513202146393881e-4
ZNF875,1,0,NA,6.513202146393881e-4
ZNF878,1,0,NA,6.513202146393881e-4
ZNF879,1,0,NA,6.513202146393881e-4
AHR,2,0,NA,6.678381904002166e-4
ANKRD1,1,0,NA,6.660981903331317e-4
APOC3,2,0,NA,6.698530621141673e-4
BAMBI,1,0,NA,6.660981903331317e-4
BGLAP,1,0,NA,6.660981903331317e-4
COL3A1,1,0,NA,6.660981903331317e-4
COL6A1,1,0,NA,6.660981903331317e-4
COL6A3,1,0,NA,6.660981903331317e-4
COL7A1,2,0,NA,6.678381904002166e-4
CYP17A1,3,0,NA,6.918367187398792e-4
EPO,5,0,NA,7.773865746119316e-4
FSTL3,1,0,NA,6.660981903331317e-4
GLI2,1,0,NA,6.660981903331317e-4
ITGA11,1,0,NA,6.660981903331317e-4
POR,3,0,NA,6.739698450075774e-4
PTHLH,4,0,NA,6.902892134646831e-4
SERPINE1,5,0,NA,6.855351501943144e-4
SMAD7,1,0,NA,6.660981903331317e-4
TERT,6,0,NA,6.959869090889496e-4
TGFB1,3,0,NA,6.968890404955976e-4
TNC,2,0,NA,6.699907524097843e-4
ZFP36,1,0,NA,6.660981903331317e-4
AGRP,1,0,NA,6.62287021925271e-4
ALPI,1,0,NA,6.62287021925271e-4
ANGPT2,4,0,NA,6.985371987850435e-4
BCL2L11,2,0,NA,7.017131756261453e-4
CAV1,3,0,NA,6.68006114590149e-4
CCNB1,3,0,NA,6.823191573646814e-4
CCNB2,1,0,NA,6.62287021925271e-4
CCNG2,2,0,NA,6.664175833301688e-4
CDKN1B,6,0,NA,7.276020940260508e-4
CDKN1C,2,0,NA,6.640056249517444e-4
CDKN2B,2,0,NA,6.640270219923559e-4
CDKN2D,2,0,NA,6.640270219923559e-4
CNOT8,1,0,NA,6.62287021925271e-4
CNR1,1,0,NA,6.62287021925271e-4
DAAM1,1,0,NA,6.62287021925271e-4
DAPK1,1,0,NA,6.62287021925271e-4
DUSP4,2,0,NA,6.640056249517444e-4
EIF4EBP1,1,0,NA,6.62287021925271e-4
G6PC,2,0,NA,7.017131756261453e-4
IGFBP1,4,0,NA,7.072080474742658e-4
KLF2,1,0,NA,6.62287021925271e-4
MCM5,2,0,NA,6.640056249517444e-4
NOS3,6,0,NA,7.3396327904662e-4
PCK1,4,0,NA,6.82435245893849e-4
PCK2,3,0,NA,7.054680474071809e-4
PDK4,2,0,NA,6.640056249517444e-4
PPARG,5,0,NA,6.855387431258793e-4
RAG1,1,0,NA,6.62287021925271e-4
RPS6KA3,1,0,NA,6.62287021925271e-4
SCP2,2,0,NA,7.017131756261453e-4
SELENOP,1,0,NA,6.62287021925271e-4
SELL,1,0,NA,6.62287021925271e-4
TIMP3,1,0,NA,6.62287021925271e-4
TMEM47,2,0,NA,6.640056249517444e-4
TNFSF10,3,0,NA,7.034531756932302e-4
TRIM63,1,0,NA,6.62287021925271e-4
TXNIP,1,0,NA,6.62287021925271e-4
ANPEP,2,0,NA,6.718229663729848e-4
BRCA1,4,0,NA,7.265856225711145e-4
CD163,3,0,NA,6.752629136445783e-4
CDK1,4,0,NA,6.876662710482653e-4
CDKN2A,6,0,NA,7.397396328992769e-4
CGA,1,0,NA,6.679304042963322e-4
CHRNE,1,0,NA,6.679304042963322e-4
EGR1,7,0,NA,0.0010551048752905547
FLI1,3,0,NA,6.774154756541461e-4
JAK3,2,0,NA,6.718229663729848e-4
MDM2,5,0,NA,7.740252608949055e-4
MMP3,3,0,NA,7.200884149574971e-4
MSR1,3,0,NA,6.772777853585291e-4
PDE7A,1,0,NA,6.679304042963322e-4
PSEN1,3,0,NA,6.735629664400696e-4
VWF,4,0,NA,7.363227135402102e-4
AMH,1,0,NA,6.73370471648181e-4
ATF3,3,0,NA,8.578911290879078e-4
BCL2A1,1,0,NA,6.73370471648181e-4
CCL20,1,0,NA,6.73370471648181e-4
CCL3L1,1,0,NA,6.73370471648181e-4
CCL3L3,1,0,NA,6.73370471648181e-4
CH25H,1,0,NA,6.73370471648181e-4
CXCL2,1,0,NA,6.73370471648181e-4
CXCL3,1,0,NA,6.73370471648181e-4
FSHB,1,0,NA,6.73370471648181e-4
IFNL1,1,0,NA,6.73370471648181e-4
IL11,1,0,NA,6.73370471648181e-4
NR5A2,2,0,NA,6.773495642459741e-4
PPARGC1A,2,0,NA,7.127966253490552e-4
SIRT1,1,0,NA,6.73370471648181e-4
SOD2,3,0,NA,7.145366254161401e-4
BTG2,2,0,NA,6.680043880267691e-4
CASP9,1,0,NA,6.640252954289758e-4
CCNA1,2,0,NA,6.657652954960607e-4
CRABP2,1,0,NA,6.640252954289758e-4
CXCR5,2,0,NA,6.802595940116889e-4
CYP26A1,1,0,NA,6.640252954289758e-4
GPRC5A,1,0,NA,6.640252954289758e-4
HNF4A,3,0,NA,6.695201672770963e-4
HOXA1,1,0,NA,6.640252954289758e-4
HOXA4,1,0,NA,6.640252954289758e-4
HOXA7,1,0,NA,6.640252954289758e-4
HOXB4,1,0,NA,6.640252954289758e-4
HOXD4,1,0,NA,6.640252954289758e-4
HSD17B2,2,0,NA,6.657652954960607e-4
MACROD1,4,0,NA,6.753368973750151e-4
MAOB,2,0,NA,6.657652954960607e-4
MUC5AC,2,0,NA,6.657652954960607e-4
NR1I3,1,0,NA,6.640252954289758e-4
NRIP1,1,0,NA,6.640252954289758e-4
PLAAT4,1,0,NA,6.640252954289758e-4
PLAT,2,0,NA,6.657652954960607e-4
PRKCA,1,0,NA,6.640252954289758e-4
RARB,1,0,NA,6.640252954289758e-4
RARG,1,0,NA,6.640252954289758e-4
RPTOR,2,0,NA,6.802595940116889e-4
SCD,2,0,NA,6.677801672100114e-4
SFTPB,1,0,NA,6.640252954289758e-4
THBD,2,0,NA,6.657652954960607e-4
TNFAIP2,1,0,NA,6.640252954289758e-4
TPO,1,0,NA,6.640252954289758e-4
LDHA,2,0,NA,7.431063020109766e-4
PDK1,1,0,NA,7.413663019438917e-4
GLUT1,1,0,NA,7.413663019438917e-4
BNIP3,2,0,NA,7.430849049703651e-4
CCL19,1,0,NA,6.91830878063306e-4
CCL21,1,0,NA,6.91830878063306e-4
PIGR,2,0,NA,6.959614394682038e-4
CD44,2,0,NA,6.935708781303909e-4
IL15,1,0,NA,6.91830878063306e-4
TNIP1,2,0,NA,6.958099706610992e-4
TRAF3,1,0,NA,6.91830878063306e-4
ABCC1,3,0,NA,6.587593772332915e-4
ACACA,1,0,NA,6.53126815089554e-4
ACACB,1,0,NA,6.53126815089554e-4
ACE,1,0,NA,6.53126815089554e-4
ADH1B,1,0,NA,6.53126815089554e-4
AEBP1,1,0,NA,6.53126815089554e-4
AFP,1,0,NA,6.53126815089554e-4
AGT,2,0,NA,6.548668151566388e-4
AGXT,1,0,NA,6.53126815089554e-4
ALOX5AP,2,0,NA,6.548454181160273e-4
APBB1IP,2,0,NA,6.587193243707152e-4
APOA1,3,0,NA,6.58845907754432e-4
APOB,1,0,NA,6.53126815089554e-4
C8orf76,1,0,NA,6.53126815089554e-4
CCNE1,2,0,NA,6.548454181160273e-4
CDH13,2,0,NA,6.570193771662066e-4
CDK2,1,0,NA,6.53126815089554e-4
CES1,2,0,NA,6.548668151566388e-4
CETP,2,0,NA,6.548668151566388e-4
COMT,1,0,NA,6.53126815089554e-4
CPS1,1,0,NA,6.53126815089554e-4
CRMP1,2,0,NA,6.548668151566388e-4
CSN2,2,0,NA,6.795719760667141e-4
CXCR2,2,0,NA,6.587193243707152e-4
CYP3A4,2,0,NA,6.548668151566388e-4
CYP3A7,2,0,NA,6.548668151566388e-4
DEFA3,1,0,NA,6.53126815089554e-4
E2F2,1,0,NA,6.53126815089554e-4
E2F3,2,0,NA,6.548454181160273e-4
EHHADH,1,0,NA,6.53126815089554e-4
ELANE,2,0,NA,6.587193243707152e-4
ELN,2,0,NA,7.119923692411264e-4
ENPP3,1,0,NA,6.53126815089554e-4
EPX,1,0,NA,6.53126815089554e-4
F9,1,0,NA,6.53126815089554e-4
FASN,1,0,NA,6.53126815089554e-4
FGA,1,0,NA,6.53126815089554e-4
FGL2,2,0,NA,6.548668151566388e-4
FN1,3,0,NA,6.668660793264702e-4
FOXA2,2,0,NA,6.548454181160273e-4
GADD45A,5,0,NA,8.343427163661764e-4
GAPDH,1,0,NA,6.53126815089554e-4
GDNF,1,0,NA,6.53126815089554e-4
GLS2,1,0,NA,6.53126815089554e-4
GPX4,1,0,NA,6.53126815089554e-4
GSK3A,1,0,NA,6.53126815089554e-4
GSK3B,1,0,NA,6.53126815089554e-4
GUCY2C,1,0,NA,6.53126815089554e-4
HAMP,1,0,NA,6.53126815089554e-4
HMGB1,2,0,NA,6.669259688848599e-4
HOMER3,1,0,NA,6.53126815089554e-4
HPX,1,0,NA,6.53126815089554e-4
HSD17B11,2,0,NA,6.572573764944517e-4
HSPA4,1,0,NA,6.53126815089554e-4
ID1,1,0,NA,6.53126815089554e-4
IL1A,2,0,NA,6.548668151566388e-4
IRS1,1,0,NA,6.53126815089554e-4
ITGA2,3,0,NA,6.58845907754432e-4
ITGAL,2,0,NA,6.548454181160273e-4
ITGAX,3,0,NA,6.604593244378e-4
ITGB2,2,0,NA,6.587193243707152e-4
KAT7,1,0,NA,6.53126815089554e-4
KCNH8,1,0,NA,6.53126815089554e-4
KCNMA1,2,0,NA,6.587193243707152e-4
LBP,1,0,NA,6.53126815089554e-4
LDLR,2,0,NA,6.548668151566388e-4
LEP,2,0,NA,6.548668151566388e-4
LIPC,1,0,NA,6.53126815089554e-4
LTF,4,0,NA,6.627384698310846e-4
MAD1L1,1,0,NA,6.53126815089554e-4
MME,3,0,NA,6.604593244378e-4
MMP11,2,0,NA,6.548668151566388e-4
MYBL1,2,0,NA,6.548668151566388e-4
NFYA,1,0,NA,6.53126815089554e-4
