"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway","12/1217","75/9577",0.16,1.25909613804437,0.859445372200945,0.23939222674466,0.44806031743653,0.344972755680456,"64058/230784/16009/14102/382985/245000/68428/107986/21933/12028/30954/71361",12
"Organismal Systems","Circulatory system","mmu04261","Adrenergic signaling in cardiomyocytes","23/1217","156/9577",0.147435897435897,1.16022480669153,0.76979976231067,0.252860513695235,0.470750956347513,0.362442841578837,"11652/399548/98660/18797/12915/11513/54376/11514/381290/56808/12297/12294/20271/11606/18750/54377/224129/16535/21956/12298/12912/11931/12293",23
"Environmental Information Processing","Signal transduction","mmu04012","ErbB signaling pathway","13/1217","84/9577",0.154761904761905,1.21787572876316,0.765210594795896,0.265549410085564,0.491758166825119,0.378616814157084,"11652/16476/18752/13645/11839/18481/14388/18750/20418/216148/20416/21802/18709",13
"Human Diseases","Cancer: specific types","mmu05211","Renal cell carcinoma","11/1217","70/9577",0.157142857142857,1.23661227843644,0.758051601704017,0.271840480711315,0.497908114195487,0.383351811230209,"20525/21808/11652/16476/13819/71745/18481/14388/22346/21802/18709",11
"Organismal Systems","Nervous system","mmu04722","Neurotrophin signaling pathway","18/1217","121/9577",0.148760330578512,1.17064723578506,0.720729718811324,0.272506551470311,0.497908114195487,0.383351811230209,"56484/11652/16476/14388/20418/216148/18037/18753/11857/20416/18211/16150/94275/19165/18035/18053/18709/12028",18
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","20/1217","136/9577",0.147058823529412,1.15725747982019,0.704702781890147,0.275616856323524,0.497908114195487,0.383351811230209,"14281/21808/21937/11652/16476/18019/14284/16177/26399/14282/16451/21813/13038/16150/18035/22030/12912/18709/12977/16477",20
"Organismal Systems","Nervous system","mmu04726","Serotonergic synapse","20/1217","136/9577",0.147058823529412,1.15725747982019,0.704702781890147,0.275616856323524,0.497908114195487,0.383351811230209,"15562/15566/16524/81906/18797/18752/14695/18783/15551/13110/18750/17161/224129/11684/109731/19225/15561/14402/15564/14708",20
"Cellular Processes","Cellular community - eukaryotes","mmu04520","Adherens junction","14/1217","92/9577",0.152173913043478,1.1975099139009,0.726270434271753,0.275983354725498,0.497908114195487,0.383351811230209,"12562/60595/12550/19263/58235/77446/21813/98932/21414/19246/16842/69903/19271/12386",14
"Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C","24/1217","167/9577",0.143712574850299,1.13092467489015,0.651207130216606,0.289794560125128,0.520144082275872,0.400471834774806,"21937/11652/12737/54401/13645/22259/19106/14102/246727/16451/14082/18260/12739/64945/106759/16150/18035/12633/18417/22030/18709/12028/13557/246730",24
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","13/1217","86/9577",0.151162790697674,1.18955303739657,0.673687060538178,0.294528836609469,0.525944351088337,0.404937605649968,"19092/13488/18797/18752/13645/11513/11514/18750/54635/60596/13489/14816/224129",13
"Metabolism","Global and overview maps","mmu01240","Biosynthesis of cofactors","22/1217","153/9577",0.143790849673203,1.1315406469353,0.625780850571571,0.299702204587816,0.531165562350938,0.408957545749895,"29807/11669/229949/107272/55936/71147/623661/11639/11637/71743/11565/223646/15930/67417/14287/67375/56248/22247/12035/20148/54391/68870",22
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome","26/1217","183/9577",0.14207650273224,1.11804984935634,0.615176763989908,0.300487946701388,0.531165562350938,0.408957545749895,"14972/280408/22319/100226/16419/54411/12317/21826/14998/14964/226421/17534/11966/14999/66335/66237/11972/13058/71116/16412/14960/11964/18125/20333/140494/68775",26
