gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
AC138207.9,-2.7163158252676896,-1.673767267211825,0.001255358612343,0.01730335262951693,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
DOCK8-AS1,-2.0647530288955656,-0.2244137678867546,0.00125900958252305,0.01733613911934942,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC01414,-0.9720174938769008,2.1668508077499378,0.00126135106850769,0.01733725384547167,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
TP53TG3D,-2.224345006468263,-1.4714803322566532,0.00126178074202647,0.01733725384547167,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
UTP23,0.5137354809589868,5.2058867290950355,0.00126289068692081,0.01733725384547167,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
BANK1,-0.955358638284057,2.5621800615088155,0.00126315042372794,0.01733725384547167,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC063979.2,-1.1142812046817807,1.6859938018877356,0.00126351535984962,0.01733725384547167,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ZBED3,0.6815104722919858,4.859766110851682,0.00126660322614051,0.01737092096020852,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
RPL18,0.6996817606765979,5.84044164850768,0.00126987483048907,0.01739836511127298,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
LRRN1,-0.976314513169846,5.532678201277815,0.00127080831595124,0.01740244907863641,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
BMP1,0.7085865069734836,3.732240510725187,0.00127655364260457,0.0174549431670764,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
ATP8B1,-0.576278295018852,4.694157001946751,0.00128105588195626,0.01750315699697414,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
LINC02846,3.094155431340951,-3.716943386343355,0.00128135788589649,0.01750315699697414,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
GABRG3,-1.642233211705459,2.8077548037958184,0.00128772553692414,0.01755881052291051,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
