"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm10036",1.06404565379225,4.28927489162705,1.49086455666273,0.162213681050047,0.99996385589442,-4.49923993702094
"Shoc2",0.252379579044708,6.8535810629186,1.49068735813878,0.162259558161664,0.99996385589442,-4.48151261635421
"Eif2s2",0.251426304295487,8.40596738555398,1.49011050804872,0.162408982642475,0.99996385589442,-4.48727445144242
"Sapcd1",0.498536084324645,1.39375547946458,1.4898892856246,0.162466318157096,0.99996385589442,-4.5564876213488
"Neb",0.557794311607251,1.74598751356261,1.48931710891183,0.162614692603815,0.99996385589442,-4.55080795984063
"Eya1",-0.447858350171068,2.14176688401019,-1.48858181641951,0.162805535143439,0.99996385589442,-4.54375866237149
"Srsf6",-0.240483788415943,6.66717161821517,-1.48819152890478,0.162906910411248,0.99996385589442,-4.48187284142027
"Rpgrip1l",0.271248323042475,5.56689353808005,1.48735649472607,0.163123987145069,0.99996385589442,-4.48298372668892
"Herc1",0.270344267227946,7.72010435055365,1.48728816160121,0.16314176203253,0.99996385589442,-4.48548282967623
"Usp3",0.275146609054453,5.97326200610218,1.48604691936835,0.163464922694725,0.99996385589442,-4.48197688284763
"Lrrc17",-1.07734748513158,5.02697626371106,-1.48590526555102,0.163501837283206,0.99996385589442,-4.48885434567524
"Def8",0.288144308422293,3.83216353998099,1.48552210693495,0.163601722930569,0.99996385589442,-4.5070655785129
"Col25a1",0.311238109948453,5.34687343798659,1.48472146769131,0.163810609420061,0.99996385589442,-4.48516721910462
"Taf15",-0.22627172819904,5.91188243577473,-1.48306255888728,0.164244141048406,0.99996385589442,-4.48321862560042
"Msi2",0.236785076209033,7.1357546283204,1.48227796767512,0.16444952252963,0.99996385589442,-4.48487151851042
"Plscr3",-0.32866236270615,3.65594734726138,-1.48201733161776,0.164517797264818,0.99996385589442,-4.51185509387217
"Hbp1",0.251666128319824,5.4658262468466,1.48147363411835,0.164660298818211,0.99996385589442,-4.48527496976046
"Cmtm6",-0.333832765857547,3.63915499836162,-1.48140965853974,0.164677073538987,0.99996385589442,-4.51237117823393
"Vstm2a",-0.336518344512522,6.66549681012297,-1.48076255274774,0.164846829718479,0.99996385589442,-4.48410572855125
"Gm10801",-0.918637477492252,1.45378480901996,-1.47833819897946,0.165484138241148,0.99996385589442,-4.5577538853316
"Fam183b",0.677667691590535,4.09307973498791,1.47809594793781,0.165547935640931,0.99996385589442,-4.50429618592139
"Nat8",0.519323757034438,2.09032170479895,1.47771248690018,0.165648963790292,0.99996385589442,-4.54600098850966
"Sbspon",0.517229560889503,1.21914963792835,1.47744199521781,0.165720260118413,0.99996385589442,-4.55996457731284
"Fbxl16",0.261009944095115,8.41071605127892,1.47725486035355,0.165769600483924,0.99996385589442,-4.49084103811588
"G730046D07Rik",0.445666786075929,2.0211714285344,1.4767867597512,0.165893075554301,0.99996385589442,-4.54744339447685
"Elf1",0.276826690104442,4.67789507522064,1.47669789358893,0.165916525402953,0.99996385589442,-4.49434013294145
"Dpysl4",0.265301695771933,4.72998354754222,1.4765475597231,0.165956201658043,0.99996385589442,-4.49367015495051
"Acaa1b",0.501641857375443,1.20820281775292,1.47649602030958,0.165969805844861,0.99996385589442,-4.56019024423677
"Shisa9",-0.289464871750583,6.74290734573586,-1.4742426543993,0.166565524819781,0.99996385589442,-4.48616599576337
"Dock10",-0.247272914288365,6.23685531003265,-1.47403736671975,0.166619886604135,0.99996385589442,-4.48559728646042
"Gm10282",-1.21671118731276,1.24662278092625,-1.47361701320835,0.166731246536247,0.99996385589442,-4.56040601324783
"Rab34",-0.232855954531492,4.88594905309294,-1.47344131616174,0.166777810880512,0.99996385589442,-4.49264315121485
"1190002N15Rik",-0.327329577787796,4.45849173317989,-1.47325173577016,0.166828067066877,0.99996385589442,-4.49844004339632
"Cdc37l1",0.248734011192978,7.25385162479567,1.47308895632728,0.166871228808325,0.99996385589442,-4.48792908074602
"Ankrd26",0.360776620066851,6.37464062354359,1.47230277185655,0.167079822900271,0.99996385589442,-4.48598251439597
"Mark1",-0.213429277433277,5.98669953946889,-1.4722532077489,0.167092980895256,0.99996385589442,-4.48626391061832
"Ttc38",0.314515318199215,2.81510190980187,1.47216105931636,0.167117446271443,0.99996385589442,-4.53207343953682
"Gm14325",-0.279550017032606,3.76275220988896,-1.47184415755495,0.167201606797514,0.99996385589442,-4.5115944951912
"Htr6",-0.369677806152365,2.13286924095527,-1.47152038922307,0.167287628063967,0.99996385589442,-4.54600112001152
"1700017B05Rik",-0.482057537796108,1.96629234835302,-1.47010132674359,0.167665098914543,0.99996385589442,-4.54932988525682
"Sppl2b",-0.209573565788933,4.8073855093371,-1.46965988890433,0.167782668787139,0.99996385589442,-4.49452414249324
"Brk1",-0.245637215965935,8.40336997577933,-1.46897004432411,0.167966537907466,0.99996385589442,-4.49311796877167
"Myh14",0.296696123442653,4.69545478836471,1.46683681938248,0.168536203524736,0.99996385589442,-4.49681938203873
"H2-K1",-0.290013470864504,5.6239547539913,-1.46597376396864,0.168767142771071,0.99996385589442,-4.48919627935874
"Cdyl2",0.378863694822718,4.1741774670875,1.46535610698436,0.1689325821854,0.99996385589442,-4.50519088983135
"Cbl",0.282186351260756,4.78489392341397,1.46531560691236,0.168943434931393,0.99996385589442,-4.49605583862763
"Egr1",0.36237471140628,8.4304030625549,1.46520042596386,0.168974303035659,0.99996385589442,-4.49422829419155
"Mall",0.693521553997497,0.497641547570444,1.46458912437341,0.169138209838201,0.99996385589442,-4.56924891361972
"Drd2",-0.371340316961303,3.47102632578067,-1.46404248800873,0.169284892242332,0.99996385589442,-4.51933706869733
"Stap2",-0.61364740203749,1.46071991099143,-1.46246891247464,0.16970774179582,0.99996385589442,-4.55798776489597
"B230314M03Rik",0.342124450327416,3.14694128897118,1.46198897005498,0.169836889398082,0.99996385589442,-4.52680718197755
"2410004P03Rik",0.896525091848351,1.74830880976118,1.46097362373912,0.170110383139273,0.99996385589442,-4.55429693418316
"Lcp1",-0.483291509697542,3.2561302091276,-1.46092844524182,0.170122561085946,0.99996385589442,-4.52504360575895
"Msrb3",-0.348611915602886,2.89131958738532,-1.46074085393577,0.170173134564884,0.99996385589442,-4.53228886589455
"Rps20",-0.235239273501628,8.27868410835365,-1.45965257638824,0.170466778863086,0.99996385589442,-4.49522776875886
"Gm17035",0.652167073177004,1.01706697739502,1.4596019907395,0.170480438556233,0.99996385589442,-4.56401840220074
"Ank3",0.246226538193705,9.27746386858198,1.4593629848043,0.170544990102183,0.99996385589442,-4.49905202192449
"Sde2",0.231007728084876,6.08310161896234,1.45842479598516,0.170798579458177,0.99996385589442,-4.49001861841748
"Ccdc148",0.293098919387285,5.19774696993959,1.4583765345707,0.170811632988047,0.99996385589442,-4.4938396017586
"Dnah11",0.719001180761129,0.964008692220484,1.45834750442429,0.170819485337978,0.99996385589442,-4.56483595040245
"Lrrc36",1.08511658824869,0.58616805256879,1.45798813595454,0.170916716044287,0.99996385589442,-4.56914722475721
"Rnf113a2",-0.222544984346832,4.65611876388371,-1.45722225906591,0.171124087942248,0.99996385589442,-4.49966246381514
"Erich2",0.816853888137961,1.5438387888682,1.4562937897649,0.171375769503819,0.99996385589442,-4.55774893079714
"Pkig",-0.202703148915107,6.89477641456176,-1.45605889476264,0.171439492462663,0.99996385589442,-4.49180137601944
"Ifit3",-0.342979734538014,2.69075670040059,-1.45603939358666,0.171444783696151,0.99996385589442,-4.53717499399133
"Sqrdl",-0.40968758996784,2.82745601117584,-1.45574550741095,0.171524540253535,0.99996385589442,-4.53438536240468
"Foxj2",-0.242450443407161,5.1346923774583,-1.45560604584992,0.171562399132094,0.99996385589442,-4.49520979902785
"Hspbap1",0.310026453945136,2.53212806589315,1.45454311971415,0.171851178273361,0.99996385589442,-4.54042277586168
"Mknk2",0.227355452860946,4.35177815522232,1.45404865429267,0.171985656250536,0.99996385589442,-4.50476153184877
"Fbln7",0.847434105066045,1.55646952212193,1.45398427052054,0.172003173019248,0.99996385589442,-4.55776058480161
"Bdp1",0.286261761171958,6.7111373816505,1.45312290126484,0.172237669233923,0.99996385589442,-4.49215901260748
"Pifo",0.696014901099556,2.44873744792108,1.45307071065793,0.172251886106743,0.99996385589442,-4.54288576746499
"Gm15155",0.514707992938217,1.55789097829199,1.4522724917378,0.172469446907701,0.99996385589442,-4.55746769939143
"Wipf3",0.336355796336592,7.33359031107942,1.45211127597814,0.172513415705484,0.99996385589442,-4.49421269928467
"Nek1",0.234589516686728,6.01275291618654,1.45146906781744,0.172688660881304,0.99996385589442,-4.49213727004524
"Itgb2",-0.729877380132614,1.44034864363875,-1.45103402853329,0.172807459464044,0.99996385589442,-4.55973752373115
"Kat8",-0.222250964888802,4.74793331576996,-1.45058931808961,0.172928970378901,0.99996385589442,-4.50033618504517
"Ptgis",0.653346680099985,1.87488099045663,1.45051291166188,0.172949854633633,0.99996385589442,-4.55304248796489
