gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
AC009365.4,1.252682724454844,1.3117538003787774,0.00417440552547261,0.03881515472751592,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
ENO4,1.157608446975715,7.157728285700971,0.00417863171318962,0.03882377931275436,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
EPHA4,1.842787283886178,3.893018315888465,0.00417983243463794,0.03882377931275436,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
D2HGDH,0.6685437860356084,4.720978005322439,0.00418151079393571,0.03882377931275436,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
SNRNP48,-0.5480383171496057,4.602053586665635,0.00418807069883941,0.03886198465622682,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
PIK3IP1,0.6057508424225215,4.8896721255804865,0.00419470522752597,0.0389098133455197,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
DDX53,4.08404849105209,-3.0010367591216203,0.00420775658030495,0.03900425954498059,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AC003084.1,-2.1413499746849896,-0.14820998256106188,0.00420785453703457,0.03900425954498059,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC01949,-1.2501830307815085,6.176439531216508,0.00421043826642667,0.03901445229038573,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ADGRG2,0.9132789875216296,3.3143449854487157,0.00421508677175825,0.03903862530710741,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
AC005544.2,2.4084745289921656,-1.041314612687561,0.00421601708942779,0.03903862530710741,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AC020661.1,-2.0474920692204375,-1.949931251255475,0.0042191384138295,0.03905170994278281,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC02333,2.437024477421199,-3.1392814306764594,0.00422148286307855,0.03905170994278281,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
KCNQ2,1.1191378250677924,2.5992479792465986,0.00422188677941984,0.03905170994278281,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
CFTR,0.6276191930401279,5.861990412283876,0.00422346343479763,0.03905255250578974,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
LINC02397,2.105075833613003,-0.06508377900378413,0.00422518034210048,0.03905469086959829,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
TRPV4,-1.3521320848609306,1.0946133671296714,0.00422836769596648,0.0390586898840006,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CACHD1,1.2006791795919678,5.651146351799806,0.0042285845788902,0.0390586898840006,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AL137182.1,-1.2211069624692366,2.857262184921986,0.00423151789433009,0.03907205563967313,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC111152.2,1.6693969836795797,2.147105938080162,0.00424700615155725,0.03915821534521228,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
NIBAN2,-1.543559944961851,1.1903441532382104,0.0042497865330147,0.03915821534521228,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AP000722.1,4.491247762900312,-2.4126953612304325,0.00425279076088985,0.0391721666160731,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AL390816.1,3.3459254376848735,-3.358460326384478,0.00425643586768496,0.03917293600319466,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
KLF10,-1.847423905366327,-0.3382442118678666,0.00425734472615365,0.03917293600319466,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
POLE,-0.9393281303569172,3.0865972717325323,0.00426326540188021,0.03921368820315853,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC008966.2,-2.4855218975999636,-2.389228491974671,0.00428508391746191,0.03938681329448908,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC120193.1,1.6553072431198734,5.446561720055131,0.00429070188094182,0.03942466656630503,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AP000553.2,2.6703748298489733,-2.636088399079574,0.00429692352032676,0.0394680382607792,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
LINC02352,-0.7887224366594066,3.5963169844869416,0.00429948918660988,0.03947781059643755,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC108156.1,3.776981667767379,-0.8805083299108932,0.00430293546363214,0.03949565903210957,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
CASP4,-1.6911441917185313,2.280231073962438,0.00430485416078108,0.03949685805864149,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC090625.2,2.246037800155371,-0.1347026085765288,0.00430607102845657,0.03949685805864149,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
LINC01446,3.385121445109985,0.13222880713261112,0.00431120818945598,0.03951640198201499,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
LINC01764,3.2952347790588896,-2.467245470026401,0.00431836601485451,0.03956075227470024,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
SLC27A4,-0.5033968318671026,4.782307914636939,0.00431905656681336,0.03956075227470024,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
RNF135,0.8554961379873417,2.6829389262009236,0.00432066243512308,0.03956167680059756,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
TUBB4A,-0.9318022286137572,6.483348962818115,0.00432583382288763,0.03957975809310674,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
C11orf65,0.7471062785334797,5.862526756760841,0.0043392700737172,0.03966298042346245,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
AC239800.2,-1.5972907077050018,-0.4271509242473214,0.0043430799091859,0.0396840057882096,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SIX5,1.9430413810366367,-1.1267321069448006,0.00434618532214162,0.03969205023729245,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
NAT10,-0.5098320214543748,4.851941695063211,0.00434768973762917,0.03969205023729245,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
LINC01241,2.717549700376675,-0.638338941860097,0.00435470820999967,0.03972122464416083,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
PFKL,-0.7449470223811622,4.741253772329735,0.00435758568055316,0.03973368448504392,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
KCNH2,1.4338453064357284,0.9927754224181566,0.00436055873665089,0.03974700695876513,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
