"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Method"
"15920",-0.0797312043497862,1.57218085403303,-0.480890798547269,0.635859536365956,0.773783057614375,-6.31688138696746,"Mixed_Effects"
"27259",0.0871150758419969,-0.803087829156596,0.480812841260862,0.635913972257123,0.77381244414161,-5.87717366077375,"Mixed_Effects"
"7498",0.0233120938710106,3.80742020950468,0.480544813067249,0.63610114672489,0.774003343223995,-6.75680326961963,"Mixed_Effects"
"16347",-0.0623113180774265,0.148076910103562,-0.480434058523603,0.636178498222233,0.774020198048359,-6.08239745889526,"Mixed_Effects"
"4987",0.140449636442115,-0.735795990593892,0.480392611377834,0.636207446203961,0.774020198048359,-5.90387202845194,"Mixed_Effects"
"1093",0.0205274181481194,6.22937987104446,0.480377280626958,0.636218153831053,0.774020198048359,-6.93600052741893,"Mixed_Effects"
"7852",-0.0333684810803737,2.94231339031196,-0.480351470827607,0.636236180641653,0.774020198048359,-6.61755278511811,"Mixed_Effects"
"10082",0.023115703313991,3.62792952299253,0.479637894459099,0.636734668716568,0.774589755787049,-6.73658465214556,"Mixed_Effects"
"13998",0.0500450763328857,4.74403934066522,0.479279194597683,0.636985315143213,0.774857773489213,-6.86233457885877,"Mixed_Effects"
"18782",-0.0234507684160632,5.12726379713291,-0.479021204841568,0.637165616677275,0.77502324921363,-6.88690615434066,"Mixed_Effects"
"2911",-0.035798998624119,2.93863088259242,-0.478901434761744,0.637249328366634,0.77502324921363,-6.61723088757346,"Mixed_Effects"
"28148",-0.0229948629299378,7.75705364614909,-0.478900714320916,0.637249831924167,0.77502324921363,-6.94175317442028,"Mixed_Effects"
"20807",-0.10033454833944,-0.604225042177822,-0.478807746932366,0.637314813692943,0.77502324921363,-5.93505702703192,"Mixed_Effects"
"16554",0.0332390916122189,2.1721026095368,0.478759384827738,0.637348618724719,0.77502324921363,-6.46503783250428,"Mixed_Effects"
"6473",0.0444448682600865,-0.104907930616667,0.478754319861381,0.637352159174912,0.77502324921363,-6.00370095005242,"Mixed_Effects"
"8861",0.134099309539513,-1.46732073225098,0.478742677539335,0.6373602972808,0.77502324921363,-5.79247667684465,"Mixed_Effects"
"29456",0.0275501842714699,3.54689179377536,0.478737343898623,0.637364025567638,0.77502324921363,-6.71580842077258,"Mixed_Effects"
"20969",0.0800512754709847,-1.73384015004458,0.478680254644887,0.637403932345636,0.775034888040103,-5.68076386273679,"Mixed_Effects"
"28701",-0.146974518847744,-2.64665286560647,-0.47858221405256,0.637472467748472,0.775079617169629,-5.54285125459507,"Mixed_Effects"
"9104",-0.0923124979743277,-2.34374415477921,-0.478540838433817,0.637501392430333,0.775079617169629,-5.56671145053025,"Mixed_Effects"
"12140",0.0601070807738872,-0.323616906863592,0.478310011431499,0.637662768848106,0.77523892844636,-5.97564078891014,"Mixed_Effects"
"24686",0.118860126413465,-2.96997833161393,0.478185038114942,0.637750148263211,0.775277814804305,-5.50269285661455,"Mixed_Effects"
"13765",0.0598614479760593,1.09458298518223,0.478141488390765,0.637780598832733,0.775277814804305,-6.24076548835609,"Mixed_Effects"
"26465",-0.103285875043299,-2.87340452363265,-0.478134066273003,0.63778578854581,0.775277814804305,-5.49538861215874,"Mixed_Effects"
"11056",-0.0173645351568683,4.77025382534686,-0.477934552670708,0.637925300147927,0.775410509228764,-6.86266065995896,"Mixed_Effects"
"3017",0.0808083968867756,2.79960077528034,0.4778499637246,0.637984453866638,0.775420178144057,-6.59529922366511,"Mixed_Effects"
"23597",-0.0387012100698256,3.6433733566903,-0.477836377100738,0.637993955331568,0.775420178144057,-6.73776111875899,"Mixed_Effects"
"14208",-0.0231630928795078,4.28617852628236,-0.477704919303793,0.638085890355853,0.775495024864508,-6.81698910995409,"Mixed_Effects"
"7738",-0.0751389924761459,-0.20655456931308,-0.477576171258448,0.638175936126737,0.775564571810831,-5.96335732893965,"Mixed_Effects"
"1899",0.0229237458186406,6.51657121296205,0.47753629539148,0.638203826284822,0.775564571810831,-6.94120524422904,"Mixed_Effects"
"18351",0.0406718847025585,4.73704950801336,0.477318163476446,0.638356402848967,0.775713090910262,-6.8534550928295,"Mixed_Effects"
"667",0.0221760613715945,4.4629172264839,0.477250374993408,0.638403822168066,0.775733817776654,-6.83586606547623,"Mixed_Effects"
"11258",-0.0337286872045464,3.62040296056411,-0.476769937244206,0.638739943061442,0.776105331491739,-6.73762409254715,"Mixed_Effects"
"29200",-0.0561223374546261,2.18116583629412,-0.476675820885548,0.638805797536549,0.776148436430536,-6.45974971724605,"Mixed_Effects"
"19830",0.0453813485807996,0.269058841438051,0.476610299929966,0.638851645237247,0.77616723021382,-6.06943226222817,"Mixed_Effects"
"13717",-0.0313770690945049,8.61868298247481,-0.476549676340477,0.638894067374357,0.776181860549095,-6.93005501066965,"Mixed_Effects"
"22924",-0.0486487605652974,6.36166811885774,-0.476354707628449,0.639030507869007,0.776293630432901,-6.94145221292384,"Mixed_Effects"
"8083",0.07363464870517,-0.655546276324613,0.47628935695501,0.639076243681396,0.776293630432901,-5.86212665442347,"Mixed_Effects"
"19887",-0.0221003897783641,7.22979417913958,-0.476287959978773,0.639077221374426,0.776293630432901,-6.94595539152981,"Mixed_Effects"
"17165",-0.0243411837263415,4.60953990040036,-0.476151901500525,0.639172447008412,0.77637238987439,-6.85043633437426,"Mixed_Effects"
"25668",-0.0907569860368563,-1.75339239927651,-0.475905151683067,0.639345160477636,0.776545258143243,-5.67492866566561,"Mixed_Effects"
"18942",0.036323408495101,3.01473794190822,0.475802930046842,0.639416717070576,0.776566253220842,-6.62443562346821,"Mixed_Effects"
"26217",-0.0427688559615164,0.216852686265882,-0.475756733526592,0.639449056474902,0.776566253220842,-6.06108345416138,"Mixed_Effects"
"9874",-0.115936766776569,-0.71652665720861,-0.475750198006121,0.639453631659167,0.776566253220842,-5.84803617194684,"Mixed_Effects"
"3546",0.0237520420898995,7.40696138688307,0.475660573927539,0.639516374392043,0.776605534927625,-6.9457426248174,"Mixed_Effects"
"3938",0.0739911372428828,-0.57333582367135,0.475562734824788,0.639584871352281,0.776637659663518,-5.93113353664822,"Mixed_Effects"
"9767",-0.0258728092802505,4.42829780806445,-0.475456772600978,0.639659059027136,0.776637659663518,-6.832282763316,"Mixed_Effects"
"17201",0.109599968793516,-2.15643606007611,0.475395320645579,0.639702085362179,0.776637659663518,-5.64236206405999,"Mixed_Effects"
"605",-0.0219985345659509,4.04598588393,-0.475365169407397,0.639723196596252,0.776637659663518,-6.79305603172237,"Mixed_Effects"
"7006",-0.118096434569508,-2.33871075603999,-0.47535159107115,0.639732703951393,0.776637659663518,-5.60390254261241,"Mixed_Effects"
"7094",-0.0680755877161474,-0.62694185296746,-0.475339153288819,0.639741412763066,0.776637659663518,-5.8943180929623,"Mixed_Effects"
"26485",-0.0433713418341692,1.31032629935165,-0.47531887129996,0.639755614124952,0.776637659663518,-6.30396264253717,"Mixed_Effects"
"29878",0.0714955146509407,-0.427926904651505,0.475221904927723,0.639823511529126,0.776668379714,-5.95936814582336,"Mixed_Effects"
"12955",-0.0450822954209389,6.55813215947439,-0.475130051720605,0.639887831610469,0.776668379714,-6.9414392527998,"Mixed_Effects"
"13917",-0.0650776156824417,7.06014957706857,-0.47511479634918,0.639898514445562,0.776668379714,-6.94623477643979,"Mixed_Effects"
"8954",-0.0552381871920466,1.0875758153042,-0.475109081399324,0.639902516457776,0.776668379714,-6.25380890020093,"Mixed_Effects"
"13901",0.0312279519303264,5.93615980082331,0.474827365386829,0.640099807929194,0.776855657254334,-6.9300952572136,"Mixed_Effects"
"11462",0.0354945396597039,4.82723144063415,0.474801920669645,0.640117628733737,0.776855657254334,-6.8641426519622,"Mixed_Effects"
"578",-0.0882585522478311,-1.68387863074666,-0.474574557304283,0.640276877925308,0.777010493935239,-5.70012870937587,"Mixed_Effects"
"29062",0.0156956717695434,5.57432539442269,0.474532929050302,0.640306036999981,0.777010493935239,-6.91678239779333,"Mixed_Effects"
"6541",0.0460303009231724,3.03701715191876,0.474469893497049,0.64035019224642,0.77702716987432,-6.62144363768645,"Mixed_Effects"
"29624",0.0271270009215879,3.81742338988838,0.474395032799357,0.64040263257098,0.777028159298153,-6.75922927053499,"Mixed_Effects"
"27440",-0.0475299707548438,1.17295404494228,-0.474381897475525,0.640411834136021,0.777028159298153,-6.26040412417289,"Mixed_Effects"
"19113",0.0295500031386251,4.05825816732763,0.474312257116024,0.640460619637841,0.777045810207183,-6.79349476611635,"Mixed_Effects"
"20045",0.0424957831124863,3.90207412738027,0.474274301516993,0.640487209564095,0.777045810207183,-6.76111231278768,"Mixed_Effects"
"15497",0.0529877983361701,0.690507872054841,0.474211617536043,0.640531124132408,0.777062188530812,-6.16476024515406,"Mixed_Effects"
"19709",-0.0506222819817474,3.2507741286901,-0.473779280301974,0.640834043903712,0.777363239532191,-6.68280454070536,"Mixed_Effects"
"2024",0.0283984709583626,2.26784583052613,0.473770327818956,0.640840317197916,0.777363239532191,-6.48835996311311,"Mixed_Effects"
"8349",0.0186064958528872,5.75727507930783,0.473677514764039,0.640905355933731,0.777363239532191,-6.924544198321,"Mixed_Effects"
"15337",-0.110363194698823,-2.14467021179976,-0.473663962762441,0.640914852745542,0.777363239532191,-5.68414721933567,"Mixed_Effects"
"29848",0.0461388830187751,2.29922808658982,0.473640333081404,0.640931411826123,0.777363239532191,-6.50302460455949,"Mixed_Effects"
"13592",-0.0467502957194968,0.218872436632871,-0.4734261467982,0.641081516915452,0.777508386768864,-6.06988789850226,"Mixed_Effects"
"25728",0.0325841005908223,3.04776568438113,0.473266709951887,0.641193263010526,0.777607000363409,-6.6325841475361,"Mixed_Effects"
"15544",0.0690333489821782,-1.07172483918005,0.473221498688826,0.641224952274168,0.777608520298686,-5.82660126415262,"Mixed_Effects"
"4802",0.0660287762623576,3.12308740397966,0.472986594228857,0.641389611725969,0.777751949848825,-6.63028748367001,"Mixed_Effects"
"10680",0.0655103081701955,2.10787863276784,0.472965913465031,0.641404109096824,0.777751949848825,-6.52801765052936,"Mixed_Effects"
"3673",0.0199189421394613,5.44130729226155,0.472879733995659,0.641464523138214,0.777788292043957,-6.91017342547963,"Mixed_Effects"
"15790",-0.0895425169713958,-2.04076800048645,-0.47266847670727,0.641612630790108,0.777926803104969,-5.64664522986562,"Mixed_Effects"
"21744",0.06644399101671,1.02754756201253,0.472629933697399,0.641639654069867,0.777926803104969,-6.22624336814856,"Mixed_Effects"
"5128",-0.0225501594617775,5.78824493147669,-0.472552355088616,0.641694047543867,0.777948635777512,-6.92457167679926,"Mixed_Effects"
"5425",0.0560405992986093,0.808557090081889,0.472517394667063,0.641718560374616,0.777948635777512,-6.20971657579623,"Mixed_Effects"
"27674",-0.0773716311538892,-1.43019275041105,-0.472466505553921,0.641754242510123,0.777954979212902,-5.74547729141841,"Mixed_Effects"
"29121",0.0218966443587257,4.99431746192377,0.472345808390325,0.641838875815992,0.777978042119558,-6.88366220430067,"Mixed_Effects"
"13942",0.0587813668446172,-0.964079740150646,0.472246957455863,0.641908194197187,0.777978042119558,-5.85679119837227,"Mixed_Effects"
"9319",0.0366552006077492,1.12564561188036,0.472239347695792,0.641913530616387,0.777978042119558,-6.25658782166611,"Mixed_Effects"
"28321",-0.129166449583707,-2.96566070453572,-0.472231543984385,0.64191900306656,0.777978042119558,-5.50206521324029,"Mixed_Effects"
"24750",0.0467391789187198,1.56981801787621,0.472222251133668,0.641925519821614,0.777978042119558,-6.34019872220539,"Mixed_Effects"
"14772",0.0460181485977693,7.21081856609549,0.472160007472202,0.641969169916131,0.777994038620019,-6.94743726813739,"Mixed_Effects"
"23898",0.0269186611768079,2.37221349343259,0.472084897113397,0.642021844913377,0.77800213421756,-6.51075948232647,"Mixed_Effects"
"3441",-0.0514345768432819,3.5316258539898,-0.472063640123413,0.642036752821756,0.77800213421756,-6.72079739112267,"Mixed_Effects"
"2040",0.115837150583948,-1.4636551031823,0.471810055069039,0.642214608552033,0.778129892177798,-5.79779942204144,"Mixed_Effects"
"22727",-0.068298830283268,-0.692708676076724,-0.471809489647989,0.64221500514338,0.778129892177798,-5.90973060423675,"Mixed_Effects"
"26340",0.0298836778034823,3.56737077358143,0.471750085473487,0.642256672371294,0.778129892177798,-6.72338904887876,"Mixed_Effects"
"16937",-0.0818950110089623,0.391307769752021,-0.471739625943523,0.642264009011914,0.778129892177798,-6.0970805536589,"Mixed_Effects"
"3300",-0.0312198947653194,2.07531739887841,-0.471616873402777,0.642350114283653,0.778193901742865,-6.45402991962063,"Mixed_Effects"
"287",-0.0478037807445025,0.408129014446428,-0.471571719855813,0.642381788726638,0.778193901742865,-6.10233681617992,"Mixed_Effects"
"14233",-0.105612820201061,-1.69515707996519,-0.471534043217569,0.6424082187819,0.778193901742865,-5.72931080188621,"Mixed_Effects"
"9314",-0.0211591028035307,6.14792738882605,-0.471166984243423,0.642665735134735,0.77846893926405,-6.93716648442467,"Mixed_Effects"
"21057",0.0660544323094207,-1.08138840277849,0.471087758124518,0.642721323613539,0.778484074385304,-5.83108446369869,"Mixed_Effects"
"4454",0.0396856895137474,0.854798157756961,0.471062323050524,0.642739170420901,0.778484074385304,-6.21397497401383,"Mixed_Effects"
"10078",-0.043639495857726,1.1196343083138,-0.470919455917791,0.642839418888307,0.778568585597409,-6.26278100545496,"Mixed_Effects"
"16251",0.0760734433794597,-0.367979332595618,0.470736678095863,0.642967682511288,0.778687017466861,-5.92764526342246,"Mixed_Effects"
"4484",0.0588247322349286,0.879546310401102,0.47056334487222,0.643089329015956,0.778752151899473,-6.18971115187294,"Mixed_Effects"
