TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
TCF7L2,0,0,0,20,1,1,1,FALSE,1,1,1
TEAD1,0,0,0,128,1,1,1,FALSE,1,1,1
TEAD2,0,0,0,30,1,1,1,FALSE,1,1,1
TEAD4,0,0,0,73,1,1,1,FALSE,1,1,1
TFAP2A,0,0,0,62,1,1,1,FALSE,1,1,1
TFAP2C,0,0,0,15,1,1,1,FALSE,1,1,1
TFAP4,0,0,0,40,1,1,1,FALSE,1,1,1
TFDP1,0,0,0,12,1,1,1,FALSE,1,1,1
TGIF2,0,0,0,19,1,1,1,FALSE,1,1,1
THAP1,0,0,0,55,1,1,1,FALSE,1,1,1
THAP11,0,0,0,116,1,1,1,FALSE,1,1,1
TP53,0,0,0,6,1,1,1,FALSE,1,1,1
TP63,0,0,0,19,1,1,1,FALSE,1,1,1
TP73,0,0,0,42,1,1,1,FALSE,1,1,1
TWIST1,0,0,0,15,1,1,1,FALSE,1,1,1
USF1,0,0,0,59,1,1,1,FALSE,1,1,1
USF2,0,0,0,38,1,1,1,FALSE,1,1,1
VDR,0,0,0,24,1,1,1,FALSE,1,1,1
WT1,0,0,0,31,1,1,1,FALSE,1,1,1
XBP1,0,0,0,16,1,1,1,FALSE,1,1,1
YY1,0,0,0,73,1,1,1,FALSE,1,1,1
ZBED1,0,0,0,22,1,1,1,FALSE,1,1,1
ZBTB11,0,0,0,22,1,1,1,FALSE,1,1,1
ZBTB33,0,0,0,12,1,1,1,FALSE,1,1,1
ZBTB7A,0,0,0,90,1,1,1,FALSE,1,1,1
ZEB1,0,0,0,15,1,1,1,FALSE,1,1,1
ZEB2,0,0,0,53,1,1,1,FALSE,1,1,1
ZFX,0,0,0,54,1,1,1,FALSE,1,1,1
ZNF143,0,0,0,51,1,1,1,FALSE,1,1,1
ZNF217,0,0,0,11,1,1,1,FALSE,1,1,1
ZNF24,0,0,0,20,1,1,1,FALSE,1,1,1
ZNF263,0,0,0,317,1,1,1,FALSE,1,1,1
ZNF274,0,0,0,18,1,1,1,FALSE,1,1,1
ZNF592,0,0,0,14,1,1,1,FALSE,1,1,1
ZNF639,0,0,0,29,1,1,1,FALSE,1,1,1
ZNF740,0,0,0,38,1,1,1,FALSE,1,1,1
