"","Control_DLPFC_vs_NAC_full","Control_Male_vs_Female_full","DLPFC_OUD_vs_Control_full","Female_OUD_vs_Control_full","Male_OUD_vs_Control_full","NAC_OUD_vs_Control_full","OUD_DLPFC_vs_NAC_full","OUD_Male_vs_Female_full","Pooled_OUD_vs_Control_full"
"HMBOX1",-0.770645699771262,-0.190015149746555,-1.5995792529891,-1.88467893287535,-1.56358447542144,-1.62611220312437,-0.584118620887001,0.991619921715884,-1.88652430310324
"HNF1A",2.2832244252832,-0.786113296138449,0,0.46111931769082,0,0,2.51611050898664,0.118352072865904,0.850646652025216
"HNF1B",0.42094488654784,-0.865741079372652,1.90995128718293,1.09384004587148,2.26020942319379,1.7047348726019,0.190780627568156,-0.721612454423967,1.77628154335175
"HNF4A",-2.49686787791962,-1.14710351061626,2.35595091403402,1.80856828908011,1.84361254594052,1.56386236459862,-2.42038646107058,-0.464985143666227,1.85529605333709
"HNF4G",-0.222952887271136,-0.821317895980902,-0.944109994832934,-0.729373779933214,-0.381429900223843,-0.333561914814176,-0.520835239917288,-1.13520392680138,-0.694815525127071
"HOXA9",0.860044143783406,-0.784432007516729,0.299637720985506,-0.711169603882285,0.247894664194181,-0.416499795419775,1.01932398125682,0.0246964061125538,-0.585151469814318
"HOXB13",2.77319637896984,1.43557774593065,0.655594628179564,1.16800706060961,0.4359723799224,0.646199721844384,2.39446607083813,0.0715135440880501,0.787495996463952
"HSF1",0.577129095591713,0.806703312974268,-0.591776237227066,-1.4753635560702,-1.71471699200373,-1.83138054459653,0.944679034106209,0.778204714950379,-1.62333410083644
"IKZF1",-1.10373067178703,0.870880464240914,-0.26235929383128,1.15809111425065,-1.0576353075973,0.834779957362326,-1.42590091251493,-1.49926923603528,0.649487698571861
"IRF1",-2.68657853940265,-1.73903178792381,-1.4256481633753,-1.44173764280989,-0.838388188999538,-1.3279492896404,-1.90109920671027,1.06676310536638,-1.01605873148369
"IRF2",0.465769535598784,-1.17359356727734,2.20184626850517,1.66556813032174,2.47053604469661,1.69540003506843,0.52545365506463,-1.11630478938624,1.702812368499
"IRF3",-0.373286704131549,-1.8416944791337,-1.93356325527494,-4.20080735812913,-2.83871857281989,-4.86612180706634,1.25773232135545,1.3967119052545,-4.1104117664618
"IRF4",0.116534324501136,-0.914027242768123,1.12380428803422,1.80494977241723,1.1234661624397,1.23464352553914,-0.316920807120878,-2.12706179089431,1.81539474658549
"IRF9",-1.2121135567851,-2.59154222331724,-1.04675216977946,-2.63501459895001,2.44376118420161,-0.961721683322627,-0.982502235806626,2.50914217631474,-1.11640531068084
"JUN",-2.32860334494887,-1.31446941677032,2.31389424821107,2.24764807395374,2.55729141171651,2.89727668889361,-1.94093523079293,-0.553744714824158,3.001216786618
"JUNB",1.19903442768296,-1.254302760584,0.73877896185734,1.06723783941499,0.300141633945126,1.15439617153607,0.794443451708832,-1.78065117416503,1.04694194860685
"JUND",-0.223677257764254,-1.41909159399053,1.53234876567796,1.5498442149944,0.806075482471291,1.86675836426842,-0.0981034618170003,-0.342754288494165,1.70941805604579
"KDM5B",-0.270250701505014,-0.761449163216852,0.425471761343702,0.620864563132348,-0.006583914051071,0.348286476447259,-0.344561434629644,-1.32491640312432,0.384162674626794
"KLF1",-0.103312337756267,-2.1523630190007,1.83864014464736,-1.44093473886852,-0.720528735941112,-1.57804295002316,1.47368347751038,-1.93159583951018,-1.15523014151157
"KLF13",0.19893617975566,1.82828111384059,-0.448956268852175,1.42776889665159,2.6161267154081,2.28053468947428,-0.777551578310951,2.70951969137018,2.06503131127583
