TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
MAF,-0.6295702972060122,2,3,39,0.4757573004314076,0.11163880112146685,0.20901729692579918,FALSE,0.9991526912536649,0.9675362763860459,0.5243767273752505
STAT2,-0.6295702972060122,2,3,39,0.4757573004314076,0.11163880112146685,0.20901729692579918,FALSE,0.9991526912536649,0.9675362763860459,0.5243767273752505
E2F4,0.6215261525104742,13,6,237,0.1720440437111961,0.7197236837625298,0.38247958131177684,FALSE,0.5467177389044676,1,0.7196655279945274
ASCL1,-0.6073832873242274,1,3,54,0.8945036285811068,0.2209015785426336,0.5180060363729572,FALSE,1,1,0.8323018337228413
POU2F1,0.6065389073787288,3,1,34,0.15980541367304804,0.645848113045592,0.33759888602757204,FALSE,0.525337336902204,1,0.6714562795075915
NRF1,-0.5933473903936505,2,4,79,0.8376361600484868,0.21365252353539663,0.48688261480928413,FALSE,1,1,0.8078427526299086
VDR,0.591828695034792,2,0,24,0.2559595305487113,1,0.2559595305487113,FALSE,0.7394386438073881,1,0.6051189374916969
MEF2B,0.5686492192669547,3,1,36,0.1800412312363452,0.6668393101080454,0.37455579479676715,FALSE,0.565843869599942,1,0.7141530487458361
FOXO4,0.5663204954759042,3,2,14,0.01754714290951563,0.06464380456427528,0.008826922646902598,FALSE,0.15682758975379596,0.7395251242153091,0.07596807491777949
CEBPG,0.5567880529010728,3,0,45,0.27746738879224686,1,0.27746738879224686,FALSE,0.7856997345998277,1,0.6435680119996708
THAP11,-0.5473616118666625,2,5,116,0.9528077988931472,0.27017408629490036,0.6067562513755269,FALSE,1,1,0.9038139994447952
FOXA2,-0.5449172475772103,0,1,11,1,0.28515615650998216,0.28515615650998216,FALSE,1,1,0.6435680119996708
HHEX,-0.5449172475772103,0,1,11,1,0.28515615650998216,0.28515615650998216,FALSE,1,1,0.6435680119996708
E2F6,-0.5444693844496948,3,4,69,0.537676821763853,0.15348004957742425,0.2883904970534243,FALSE,1,1,0.6443725168537449
ZBTB7A,-0.5439678624472668,0,4,90,1,0.28578020113272096,0.28578020113272096,FALSE,1,1,0.6435680119996708
E2F3,0.5321388108443983,2,1,13,0.09617477697977604,0.32749147460282924,0.14040730296646467,FALSE,0.390537790645965,1,0.4056210974586757
E2F5,0.5321388108443983,2,1,13,0.09617477697977604,0.32749147460282924,0.14040730296646467,FALSE,0.390537790645965,1,0.4056210974586757
EPAS1,0.5321388108443983,2,1,13,0.09617477697977604,0.32749147460282924,0.14040730296646467,FALSE,0.390537790645965,1,0.4056210974586757
SOX9,0.5321388108443983,2,1,13,0.09617477697977604,0.32749147460282924,0.14040730296646467,FALSE,0.390537790645965,1,0.4056210974586757
FOXJ2,-0.5143575156825463,0,2,37,1,0.30594438311352334,0.30594438311352334,FALSE,1,1,0.6544842559737917
REST,-0.5133620309759256,0,1,12,1,0.30664646958212616,0.30664646958212616,FALSE,1,1,0.6544842559737917
NR2C2,0.508341687870155,5,1,88,0.28914030660273476,0.9320738529533504,0.6228650233298793,FALSE,0.8028556086250693,1,0.9088881939297924
E2F2,0.5026796052335991,2,1,14,0.10927938265815268,0.34771052614425657,0.1622585507134683,FALSE,0.41671871253642223,1,0.44621101446203787
RUNX2,0.4997613983911858,4,1,65,0.27296015931980544,0.8627017149497184,0.5760191504054976,FALSE,0.7806660556546435,1,0.8857068656772704
NFIC,0.49886183050448774,2,0,28,0.3170576011913583,1,0.3170576011913583,FALSE,0.8719084032762353,1,0.6570903908748439
NR1H2,-0.4848000012634648,0,1,13,1,0.32749147460282924,0.32749147460282924,FALSE,1,1,0.6675293683966512
ARNTL,0.4679802911592578,1,0,10,0.3404236382118908,1,0.3404236382118908,FALSE,0.8866546792627407,1,0.6714562795075915
GATA4,0.4679802911592578,1,0,10,0.3404236382118908,1,0.3404236382118908,FALSE,0.8866546792627407,1,0.6714562795075915
POU2F2,0.4679802911592578,1,0,10,0.3404236382118908,1,0.3404236382118908,FALSE,0.8866546792627407,1,0.6714562795075915
KLF6,0.46220492819530973,3,0,51,0.3449809166388653,1,0.3449809166388653,FALSE,0.8866546792627407,1,0.6757845353336677
KLF13,0.44112419491789673,2,0,31,0.36213942282632416,1,0.36213942282632416,FALSE,0.8905929061985588,1,0.7045705777437327
SMAD5,0.43496199278983577,1,0,11,0.3673144445547337,1,0.3673144445547337,FALSE,0.8905929061985588,1,0.7098103455584719
BCL6,0.41728648419751524,3,1,46,0.2886737296732627,0.7545599452170033,0.5497989557728663,FALSE,0.8028556086250693,1,0.86874310138696
PRDM14,-0.4077766597551231,4,7,196,0.960683905646456,0.37566769943006473,0.7287106838976308,FALSE,1,1,0.9473238890669201
TAL1,0.40727303016435384,2,1,18,0.16548301271440755,0.422694356063686,0.25601185816956407,FALSE,0.5317768723182085,1,0.6051189374916969
RUNX3,0.4054860731503691,1,0,12,0.39310985085626104,1,0.39310985085626104,FALSE,0.9215526011876284,1,0.7348327931038605
MEF2A,0.3952702096051247,5,0,102,0.4024665495273634,1,0.4024665495273634,FALSE,0.9358165297953327,1,0.7469155923279464
ESR2,-0.3927628092577336,0,1,17,1,0.4047969119259849,0.4047969119259849,FALSE,1,1,0.7469155923279464
FLI1,0.37897497842559724,1,0,13,0.4178544403459674,1,0.4178544403459674,FALSE,0.9484632534837037,1,0.7563694299933335
PAX6,0.37897497842559724,1,0,13,0.4178544403459674,1,0.4178544403459674,FALSE,0.9484632534837037,1,0.7563694299933335
TFAP4,-0.3784502164797944,1,2,40,0.8109139465797179,0.33925366903256315,0.6301568693021148,FALSE,1,1,0.9102265889919435
SNAI2,-0.3752595400912161,2,3,66,0.7562449113246947,0.3187153094582489,0.5839711390786113,FALSE,1,1,0.8883816264706533
KDM5B,-0.37397355095679,0,1,18,1,0.422694356063686,0.422694356063686,FALSE,1,1,0.7603181499007182
TCF7L2,0.36944701421378773,2,1,20,0.1951494163065936,0.45689275437002685,0.3046941893591014,FALSE,0.5937524794009125,1,0.6544842559737917
USF1,0.36274119606404903,3,0,59,0.43376929234910266,1,0.43376929234910266,FALSE,0.9708542843268734,1,0.771859306794036
BCL11A,0.36200201200946674,2,0,36,0.434508211167272,1,0.434508211167272,FALSE,0.9708542843268734,1,0.771859306794036
CREM,0.34901468465441043,3,1,52,0.3562273960965976,0.7956865207606009,0.6407950748365087,FALSE,0.8905929061985588,1,0.9117780666827934
JUNB,0.34901468465441043,3,1,52,0.3562273960965976,0.7956865207606009,0.6407950748365087,FALSE,0.8905929061985588,1,0.9117780666827934
MAFG,0.34827934402231137,2,0,37,0.44845684370174665,1,0.44845684370174665,FALSE,0.979073719837401,1,0.7820649835286557
EHF,-0.3401857291451406,0,1,20,1,0.45689275437002685,0.45689275437002685,FALSE,1,1,0.7919474409080466
ELF3,0.33889137977308037,3,1,53,0.3674474228371676,0.801837910248226,0.6546821569783617,FALSE,0.8905929061985588,1,0.9178387102735855
CREB3,0.3343094872921323,3,2,25,0.07982877619395086,0.17237288827437167,0.07273657223828246,FALSE,0.3742791801880319,1,0.27016441117076345
ETV4,0.33314472009469803,1,0,15,0.46436051043063253,1,0.46436051043063253,FALSE,0.9985496690463227,1,0.795252131635694
TCF3,0.33314472009469803,1,0,15,0.46436051043063253,1,0.46436051043063253,FALSE,0.9985496690463227,1,0.795252131635694
BHLHE22,-0.32493188244950766,0,1,21,1,0.4732254768800156,0.4732254768800156,FALSE,1,1,0.8056100380219313
ZKSCAN1,-0.3161243733010394,1,2,47,0.8587576567793144,0.4147116627475268,0.7238268195025575,FALSE,1,1,0.9466616746373352
HINFP,0.31318291590981706,1,0,16,0.48620238410979455,1,0.48620238410979455,FALSE,0.9991526912536649,1,0.8078427526299086
SP2,-0.3106311049317723,0,1,22,1,0.48906760299150553,0.48906760299150553,FALSE,1,1,0.8078427526299086
