gene,log_fc,p_value,adj_p_value,oud_mean,ctrl_mean,significant
HSPA1B,0.0,7.337735856508429e-28,1.2168716179947644e-27,0.19261866504313044,0.19261866504313044,False
ABCA9,0.0,5.255502179359701e-10,7.041762634247031e-10,0.06835003293239368,0.06835003293239368,False
ITGAX,0.0,5.679245701299843e-109,1.6382439522980317e-108,0.25399965818033604,0.25399965818033604,False
F3,0.0,2.108265567607532e-32,3.641218596904201e-32,0.2371121010538246,0.2371121010538246,False
ANKDD1A,0.0,1.4138400626135543e-138,4.6610111954293e-138,0.43558928775232486,0.43558928775232486,False
LINC01792,0.0,0.0,0.0,1.4255494075249013,1.4255494075249013,False
FOS,0.0,1.983461804336837e-99,5.40944128455501e-99,0.19410779642164527,0.19410779642164527,False
B2M,0.0,8.594607279897111e-149,2.9739125535976166e-148,0.7870964424403003,0.7870964424403003,False
TBC1D12,0.0,1.8662298458940434e-48,3.6664633514617747e-48,1.8881598482253568,1.8881598482253568,False
MTMR7,0.0,2.151457333261132e-180,8.371429312300125e-180,1.903262386861831,1.903262386861831,False
WWTR1,0.0,3.391883732577207e-66,7.504167549949572e-66,0.5052072134581587,0.5052072134581587,False
PRKAG2,0.0,4.456042229106161e-49,8.80640756740348e-49,0.4048465791850789,0.4048465791850789,False
RGS10,0.0,1.0361537840621354e-134,3.360498759120439e-134,0.25963888604890417,0.25963888604890417,False
TPPP,0.0,5.931066409169211e-22,9.248024546521638e-22,1.5460546668458266,1.5460546668458266,False
TMEM241,0.0,1.9593049971191452e-16,2.849207460667686e-16,0.4825248585202699,0.4825248585202699,False
FN1,0.0,2.9830004144387643e-115,8.877977423924894e-115,0.3208436864659129,0.3208436864659129,False
LGR4,0.0,3.0970748583411767e-35,5.462213154040876e-35,0.5240462401444187,0.5240462401444187,False
CARNS1,0.0,1.3936601924775721e-191,5.63474471352118e-191,1.4846193307932054,1.4846193307932054,False
AC016597.1,0.0,2.3110747072785056e-286,1.220638049618929e-285,1.637138534579418,1.637138534579418,False
CCND3,0.0,1.3598248485590012e-108,3.911289113784279e-108,0.29506055374729456,0.29506055374729456,False
LINC02241,0.0,8.561063806681785e-108,2.4436909058083117e-107,2.168661410804939,2.168661410804939,False
