gene,coefficient,abs_coefficient,z_score,pvalue,padj,significant
FAM20B,7.155808495304103e-05,7.155808495304103e-05,0.01966388302365373,0.9843115023772808,0.9999963503102831,False
SPATA45,-5.960884418634413e-05,5.960884418634413e-05,0.016380278203709246,0.9869310133531735,0.9999963503102831,False
FLVCR1,0.001193619010980544,0.001193619010980544,0.32800185502635104,0.7429102600408839,0.9999963503102831,False
AL160408.3,-6.833220329516489e-05,6.833220329516489e-05,0.018777423309000188,0.9850186642375183,0.9999963503102831,False
AL391832.4,-0.00023305644533030734,0.00023305644533030734,0.06404300341311688,0.9489359852957084,0.9999963503102831,False
AL391832.2,2.2284352802260027e-05,2.2284352802260027e-05,0.006123653351665738,0.9951140620714201,0.9999963503102831,False
LINC01348,-5.823268497501957e-05,5.823268497501957e-05,0.01600211501262933,0.9872327043755287,0.9999963503102831,False
TBCE,-0.0008240963801645182,0.0008240963801645182,0.22645847538270225,0.8208448521713043,0.9999963503102831,False
GNG4,0.0005839678690644505,0.0005839678690644505,0.16047209584201835,0.872509201044309,0.9999963503102831,False
LINC02768,3.5095509154932945e-05,3.5095509154932945e-05,0.009644109217442689,0.9923052334331128,0.9999963503102831,False
NID1,-0.002792939233130313,0.002792939233130313,0.7674888226604738,0.44279093625573696,0.9999963503102831,False
EDARADD,5.403576780391019e-05,5.403576780391019e-05,0.014848818521159273,0.9881527923174289,0.9999963503102831,False
LGALS8,-0.0006471640792284394,0.0006471640792284394,0.1778381682434585,0.8588500711804201,0.9999963503102831,False
AL359921.2,7.099135441634465e-05,7.099135441634465e-05,0.019508147679606395,0.9844357373724391,0.9999963503102831,False
AL359921.1,-0.00031721828819937514,0.00031721828819937514,0.08717035001998193,0.9305361068775304,0.9999963503102831,False
ACTN2,0.0049084389635062715,0.0049084389635062715,1.348819908616485,0.17739481843799076,0.9999963503102831,False
RYR2,0.00654055942553979,0.00654055942553979,1.7973202544124895,0.07228479253619313,0.9999963503102831,False
AL356010.2,-0.0001128814292055543,0.0001128814292055543,0.031019377068258705,0.975254086442042,0.9999963503102831,False
LINC01139,-0.00030989117816402234,0.00030989117816402234,0.08515688872163714,0.9321366638477844,0.9999963503102831,False
CHRM3,-0.0006784615938170285,0.0006784615938170285,0.1864386033474021,0.8521008219923925,0.9999963503102831,False
CHRM3-AS2,0.00018599150981434917,0.00018599150981434917,0.05110974245303193,0.9592380727858105,0.9999963503102831,False
FMN2,0.005579825455150323,0.005579825455150323,1.533314301444543,0.1251984325391322,0.9999963503102831,False
AL160408.1,-7.530704542245905e-05,7.530704542245905e-05,0.020694082758307263,0.9834896892854168,0.9999963503102831,False
RGS7,-0.0036324969782639952,0.0036324969782639952,0.9981960209141021,0.31818431557049,0.9999963503102831,False
AL160408.2,-0.00012016670343585567,0.00012016670343585567,0.033021342050327404,0.9736575684255782,0.9999963503102831,False
AL161640.3,8.753460123976299e-05,8.753460123976299e-05,0.02405416747011093,0.9808094017933371,0.9999963503102831,False
C1orf131,-0.00051443302944465,0.00051443302944465,0.14136419275532217,0.8875822401982474,0.9999963503102831,False
GNPAT,0.00028754030344450143,0.00028754030344450143,0.07901495540621349,0.9370207275619737,0.9999963503102831,False
EXOC8,0.0008949227033408311,0.0008949227033408311,0.24592127312035084,0.8057431758655615,0.9999963503102831,False
SPRTN,0.0005482404836769013,0.0005482404836769013,0.1506543494970345,0.8802483859278096,0.9999963503102831,False
AL445524.1,-0.00032988269596720686,0.00032988269596720686,0.09065047994623579,0.927770319821632,0.9999963503102831,False
LINC00582,8.725010023516753e-05,8.725010023516753e-05,0.02397598770219025,0.9808717622381384,0.9999963503102831,False
AL136171.2,-0.0020558125948561727,0.0020558125948561727,0.5649292935988199,0.5721218579299063,0.9999963503102831,False
AL353052.1,-3.5426257875033795e-05,3.5426257875033795e-05,0.009734997677447652,0.992232718338353,0.9999963503102831,False
SIPA1L2,-0.002074876079153075,0.002074876079153075,0.5701678648306178,0.5685638494491683,0.9999963503102831,False
LINC01744,-2.9655982551159517e-05,2.9655982551159517e-05,0.008149348493887194,0.9934978326263992,0.9999963503102831,False
MAP10,7.881415879250664e-05,7.881415879250664e-05,0.021657823852057383,0.9827209075641059,0.9999963503102831,False
AL122003.2,9.63751765749532e-06,9.63751765749532e-06,0.002648352313784657,0.9978869230473708,0.9999963503102831,False
NTPCR,-0.00047307439519005004,0.00047307439519005004,0.12999900115559967,0.8965672169474939,0.9999963503102831,False
PCNX2,0.003968941108523272,0.003968941108523272,1.0906495574467645,0.27542711430188316,0.9999963503102831,False
AL357972.1,0.00045203677400185383,0.00045203677400185383,0.12421794479541197,0.9011427143864417,0.9999963503102831,False
SLC35F3,0.0004927300796189018,0.0004927300796189018,0.13540030667701533,0.8922953816725676,0.9999963503102831,False
AL355472.2,-0.0007602010143950178,0.0007602010143950178,0.20890027774410502,0.8345260873359939,0.9999963503102831,False
COA6-AS1,-0.0009920713546717256,0.0009920713546717256,0.2726173441084167,0.7851473781180895,0.9999963503102831,False
LINC01354,0.00025743627393368454,0.00025743627393368454,0.07074248535297227,0.9436027070972832,0.9999963503102831,False
AL161640.1,-2.536329714853109e-05,2.536329714853109e-05,0.006969735265416579,0.9944390008618476,0.9999963503102831,False
