"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Sex","Dataset"
"AC015813.1",0.127114173275248,3.99438161634942,1.38149990556999,0.190615397429455,0.763410290188215,-5.53830756746326,"F","gse225158"
"AC104109.2",-0.83053188118854,-3.52940361460719,-1.38127629820774,0.190682479200664,0.763410290188215,-4.61888099671394,"F","gse225158"
"PRICKLE1",-0.197696880384491,5.58100591704107,-1.38126740662208,0.190685147061034,0.763410290188215,-5.64382156350403,"F","gse225158"
"LINC01918",-0.216675763101898,1.15315272807704,-1.38125917190339,0.190687617860324,0.763410290188215,-5.09898485731543,"F","gse225158"
"ITGAD",-0.464051726721112,-1.6130981381838,-1.38092001816641,0.190789402701563,0.763697665728192,-4.73521059705546,"F","gse225158"
"AMDHD1",0.209186359900306,0.611393990860868,1.38071723078139,0.190850283449064,0.763821244483093,-5.03363303243399,"F","gse225158"
"CPA3",0.441888131612373,0.256845800707171,1.38037800813341,0.190952160514171,0.763871769330759,-4.98191313589557,"F","gse225158"
"AC012443.2",-0.474231523758296,0.0869976201064476,-1.38034804980732,0.190961159902996,0.763871769330759,-4.91631476062273,"F","gse225158"
"LINC01756",-0.324034071242729,-1.83823925239176,-1.38023109036657,0.190996297503124,0.763871769330759,-4.72296734648618,"F","gse225158"
"VCX",0.527378634965578,-2.87326507600367,1.3801367084233,0.191024656129677,0.763871769330759,-4.67422779042908,"F","gse225158"
"SESN3",0.191127263405215,6.71056535852653,1.38009376473488,0.191037560423982,0.763871769330759,-5.67608642444866,"F","gse225158"
"NDC1",0.146914655388052,4.20910876910644,1.3800684725208,0.191045160902983,0.763871769330759,-5.55780045439895,"F","gse225158"
"MRPS27",0.104616149998333,5.6823499571048,1.37997591575557,0.191072976951715,0.763871769330759,-5.65532847358972,"F","gse225158"
"AC024996.1",-0.4794235570429,1.72086622106924,-1.37987432897688,0.191103510626695,0.763873862985537,-5.15985679366971,"F","gse225158"
"AC003086.1",0.360433196575028,0.00265772525001704,1.37967306475044,0.191164015962293,0.76391635984614,-4.95308229998942,"F","gse225158"
"A2M-AS1",0.215967215214397,1.57823215839928,1.37956757340529,0.191195735744932,0.76391635984614,-5.18272034533211,"F","gse225158"
"AC004837.4",-0.188012951945941,1.87240425770222,-1.37942452070221,0.191238756630785,0.76391635984614,-5.21043311624434,"F","gse225158"
