"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Dataset"
"AC007920.2",0.131302911674727,-0.802716874822689,0.31456493281186,0.756409369037625,0.915909774005762,-5.66800549485911,"gse225158"
"CRLF1",0.056725838140243,3.56632696928703,0.314507332655819,0.756452453194009,0.915909774005762,-6.40179454397948,"gse225158"
"AC005840.4",0.188023702834383,-2.84460298398024,0.314479638060872,0.756473168676001,0.915909774005762,-5.37050435836382,"gse225158"
"GPRIN1",0.0773283601297596,0.684985480446253,0.31446058621865,0.756487419511901,0.915909774005762,-5.91317519586609,"gse225158"
"CLGN",0.0761962800251099,1.89471242828339,0.314452949308812,0.756493131968742,0.915909774005762,-6.13758504545427,"gse225158"
"SI",-0.166650757489278,-2.43997670804344,-0.314439135469127,0.756503464844599,0.915909774005762,-5.41099333441038,"gse225158"
"KCNQ1DN",0.195920593272635,-1.75596009361924,0.314411039755914,0.756524480834616,0.915909774005762,-5.50395662852194,"gse225158"
"RSPO1",-0.143559989809908,-2.48307965100197,-0.314331821529866,0.756583738231029,0.915929422058316,-5.38930277820397,"gse225158"
"TEX264",0.0473885800646768,2.7544735836472,0.314293492979748,0.756612409587098,0.915929422058316,-6.27852468739953,"gse225158"
"ZNF99",-0.0740244697706929,1.38655385508093,-0.314142103247882,0.756725658958558,0.91599872007279,-6.02493131675006,"gse225158"
"RMND5B",0.0318106289920036,4.57598815090317,0.314058961625551,0.756787856698681,0.91599872007279,-6.47764743048761,"gse225158"
"MSL3",0.0373522682307045,3.08661183675702,0.31403655867248,0.756804616501584,0.91599872007279,-6.33424588629481,"gse225158"
"SYNGR3",0.123092864786097,1.53143103820609,0.31393226190144,0.75688264325461,0.91599872007279,-6.06145074423315,"gse225158"
"B4GALT4",0.0430406922108908,4.07584973728667,0.313891148322095,0.756913401979348,0.91599872007279,-6.44708353942102,"gse225158"
"RAVER2",0.0555816757208997,5.81872912030577,0.313888388719793,0.75691546656385,0.91599872007279,-6.5120934476462,"gse225158"
"C1orf229",-0.201825610502336,-2.14991141678074,-0.313846255994147,0.756946988212176,0.91599872007279,-5.50370676268349,"gse225158"
"PCDHB13",-0.0733218831462348,1.59444295135103,-0.313762219778077,0.757009861307824,0.91599872007279,-6.07453231914178,"gse225158"
"B4GALNT1",0.0969031302516116,2.84725387404372,0.313745051270313,0.75702270642632,0.91599872007279,-6.29663504930046,"gse225158"
"MAP10",0.0573431408987909,1.57765554822073,0.313674712092762,0.757075333483482,0.91599872007279,-6.08107280166332,"gse225158"
"AP000474.2",-0.191337306137805,-2.27621790076618,-0.313620692715528,0.75711575105637,0.91599872007279,-5.42279454007547,"gse225158"
"EPB41",0.0912046511003739,8.16951976310763,0.313585792693034,0.757141863811506,0.91599872007279,-6.481852243519,"gse225158"
"DTX2",-0.0475555504627938,4.35980206631261,-0.313450201810749,0.757243317914323,0.91599872007279,-6.46230859769418,"gse225158"
"ARRDC4",0.0563272412481151,3.09165622976566,0.313437759043513,0.757252628277935,0.91599872007279,-6.33291551956101,"gse225158"
"AC025048.2",0.037207498259062,3.36494298360529,0.313424827563351,0.757262304363705,0.91599872007279,-6.3706817322163,"gse225158"
"Z95118.2",0.0568927235739393,3.4771845228127,0.313411248063789,0.757272465379434,0.91599872007279,-6.38556959898982,"gse225158"
"IFNA2",0.106002291591484,1.02299703163476,0.313402316546803,0.757279148513737,0.91599872007279,-5.97239026250745,"gse225158"
"CEBPA-DT",0.122765100371277,-1.50004353495975,0.313295630312236,0.75735897951464,0.916051913441251,-5.57377973951271,"gse225158"
"AC037487.1",0.163723845316721,-0.13456067047367,0.313163499051349,0.757457854345936,0.916128134855345,-5.80711648831789,"gse225158"
"SETD1A",0.0343636585793321,2.9886731280012,0.312884732490994,0.757666471524326,0.916242525853245,-6.31895617708369,"gse225158"
"AC011446.1",-0.115633333416886,-0.437445506080854,-0.312864747076703,0.757681428499657,0.916242525853245,-5.71451291681485,"gse225158"
"AL121820.2",0.125231044057224,1.33224386604108,0.312826627909869,0.757709956947893,0.916242525853245,-6.02141142994982,"gse225158"
"GTF2B",0.0382549232500053,4.7609784625519,0.312789660011698,0.757737624124526,0.916242525853245,-6.48584931880964,"gse225158"
