"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Dataset"
"HMCN2",-0.221528022187482,1.22437374754233,-1.31876793576315,0.203205413116044,0.698788511494456,-4.65611636789384,"gse225158"
"AC116447.1",-0.607944986144071,-2.54801284244914,-1.31875403561424,0.20320997056289,0.698788511494456,-4.50984070310668,"gse225158"
"DECR1",0.116596444405831,6.12861679611959,1.31873613835986,0.203215838660727,0.698788511494456,-5.03777681211357,"gse225158"
"TTTY2B",-0.865479042811862,-2.55333726708397,-1.31871373051326,0.20322318586613,0.698788511494456,-4.50913215337722,"gse225158"
"RFPL3S",0.222948705118984,1.16731213955628,1.31870631448576,0.203225617519243,0.698788511494456,-4.65654620482781,"gse225158"
"AL137003.2",-0.281667706034033,2.24113310473634,-1.3186155160339,0.203255391426967,0.698788511494456,-4.7612481188578,"gse225158"
"NPFF",0.301177908115375,0.0628219910668338,1.31849888159284,0.203293642308684,0.698788511494456,-4.58492250125678,"gse225158"
"STARD13",0.209130218747271,8.18280592468255,1.31844783696355,0.203310384448414,0.698788511494456,-5.02088306475924,"gse225158"
"PHKA2",-0.139917396475345,5.10357039289651,-1.31834176846704,0.203345177351999,0.698788511494456,-5.01434272230935,"gse225158"
"HESX1",0.228516844625762,1.63860052715343,1.31831502334088,0.203353951108098,0.698788511494456,-4.70329208134453,"gse225158"
"MON1A",-0.16774857593449,2.64607253563488,-1.31827282225144,0.203367795809451,0.698788511494456,-4.80849092965137,"gse225158"
"AP002954.2",-0.572337711255615,-1.84688993803289,-1.31820463137749,0.203390168418997,0.698788511494456,-4.51643870897138,"gse225158"
"ABHD18",-0.137127183830458,6.29498215636785,-1.31799148381203,0.203460112083318,0.698788511494456,-5.03870509784425,"gse225158"
"DHRS11",-0.279251980895615,2.45908991013622,-1.31798528327793,0.203462147051461,0.698788511494456,-4.7805402072167,"gse225158"
"AC092652.2",0.505567576858145,1.14262340341649,1.3179788756676,0.203464249997284,0.698788511494456,-4.64695726433498,"gse225158"
"AC106820.3",-0.381508957326677,-1.57459658494705,-1.3178979740224,0.203490802987152,0.698788511494456,-4.52219907760623,"gse225158"
"TNFAIP3",0.405231305481169,0.436077658482959,1.31770422941035,0.203554403624417,0.698853955855742,-4.60450462222435,"gse225158"
"NEU3",-0.168920572165037,4.44557862350206,-1.31755898226358,0.203602094241211,0.698853955855742,-4.98078317656166,"gse225158"
"POC1B",0.183232877977073,6.32886538267934,1.31754871666535,0.203605465192526,0.698853955855742,-5.04029984479738,"gse225158"
"MIR3681HG",0.623395410965821,5.68977558115571,1.31750666403357,0.203619274624844,0.698853955855742,-5.03028659265926,"gse225158"
"LINC02280",-0.370758896508647,0.351136765743532,-1.31733774986436,0.203674750850309,0.69895046467086,-4.59580913034474,"gse225158"
"USP18",-0.228191088017253,0.773076464960236,-1.31717707728197,0.203727531347585,0.69903769787798,-4.62835065608223,"gse225158"
"PPIF",0.335057083258222,1.91720357325267,1.31692089015403,0.203811710382278,0.699128831667227,-4.72330968605365,"gse225158"
"THSD1",-0.165911119721647,3.15287707127248,-1.31688069754376,0.203824919522568,0.699128831667227,-4.86628730671934,"gse225158"
"EIF3B",0.0985950366648774,4.4587091432007,1.31683822990193,0.203838877075161,0.699128831667227,-4.98108264240283,"gse225158"
"SLC35D1",-0.132514261234217,5.6210738106549,-1.31676317009106,0.203863548315818,0.699128831667227,-5.03205404080389,"gse225158"
"ZBTB7B",0.246963909804678,1.89076835518297,1.31639278042466,0.203985325286409,0.699452566869206,-4.72729362718638,"gse225158"
"CPO",-0.206509976966231,3.12341018219037,-1.31619908217892,0.204049032328944,0.699505392393337,-4.8584161816299,"gse225158"
"ZGRF1",0.149775851224238,4.58143756595373,1.31617945350873,0.204055489040962,0.699505392393337,-4.99193542788009,"gse225158"
"NAP1L1",-0.171025155702583,7.39136110338702,-1.31605638787257,0.204095974275291,0.699550314832224,-5.03493597643417,"gse225158"
"EXOSC8",0.206191628625058,3.89989795280539,1.31592459138757,0.204139338731352,0.699605092588505,-4.94056509969055,"gse225158"
"PSG6",-0.55501039818,-0.635091973304003,-1.31580461982752,0.204178818785783,0.699613714671216,-4.54548644194098,"gse225158"
"AL139089.1",0.378076708992469,0.840167477620819,1.31574958415652,0.20419693184941,0.699613714671216,-4.62987305760285,"gse225158"
"GFPT1",0.143183745842814,5.36238540731263,1.31561520684486,0.204241162748916,0.699613714671216,-5.02476683058559,"gse225158"
"AC096677.1",0.261636578545206,4.39427686307197,1.315551078354,0.204262273589198,0.699613714671216,-4.97496019892776,"gse225158"
"CFAP126",-0.938806653075138,-0.936415164568728,-1.31549059326072,0.204282186611381,0.699613714671216,-4.52273070528957,"gse225158"
"LINC01909",0.250453145316359,2.00027928842426,1.31541779972953,0.204306153867546,0.699613714671216,-4.74976357423582,"gse225158"
"AC006504.2",-0.590622860422953,2.38227394469825,-1.31505965323312,0.204424105761267,0.699923811055295,-4.76126136188717,"gse225158"
"CCDC114",0.332830859763643,-0.861103492946162,1.3148978100401,0.204477424740764,0.700012558582579,-4.53897133721702,"gse225158"
"MAPK8IP2",-0.317240901383844,2.87088905249709,-1.31470404044854,0.204541276213731,0.700137334671037,-4.83630839941992,"gse225158"
"ABO",-0.506366470051506,0.21904775756849,-1.31456620754575,0.204586704827449,0.700199025001538,-4.59345986120821,"gse225158"
"AKAP14",0.361918830852586,-0.17800949117604,1.31434097928401,0.204660955330746,0.700290773338574,-4.57033491785518,"gse225158"
"AC103952.1",-0.553817546899202,-0.246052158504765,-1.31424982866795,0.20469101077835,0.700290773338574,-4.5692682894091,"gse225158"
"AC002331.1",-0.896885755135633,-2.01820960175689,-1.31416971281159,0.20471743055881,0.700290773338574,-4.5142441191807,"gse225158"
"AC113346.2",-0.239910329344418,2.92843640929093,-1.31409507863215,0.204742045061928,0.700290773338574,-4.84072742191943,"gse225158"
"NPIPB13",0.24158775038391,4.05253564980294,1.31400104061437,0.204773062304878,0.700290773338574,-4.95154826585633,"gse225158"
"GTSF1",0.524355202808337,-1.37928540495079,1.31398616106677,0.204777970472914,0.700290773338574,-4.5275421090832,"gse225158"
"LRP3",-0.185057313865866,2.94160431325174,-1.31385555052711,0.204821057641112,0.70034437923886,-4.84791469258482,"gse225158"
"AL592211.2",-0.798775623746328,-2.15185190609733,-1.3137439802727,0.20485786924874,0.700376515647805,-4.51350019328663,"gse225158"
"LRRC34",-0.192470147860731,4.08833244818505,-1.31343458787911,0.20495997772717,0.700457355384819,-4.95839501848037,"gse225158"
"AC008609.1",0.791663312219373,-2.93360143407748,1.31343128876227,0.204961066747234,0.700457355384819,-4.51175188418265,"gse225158"
"AC078850.2",0.817891193652591,-1.95662492962635,1.31342311975076,0.204963763311946,0.700457355384819,-4.51635294169756,"gse225158"
"HDAC7",0.182521298184531,4.45011757694716,1.31319747208128,0.205038259920827,0.70061421745702,-4.98672850271228,"gse225158"
