"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Sex","Dataset"
"ZSCAN16",-0.00661627536912202,0.720901769507912,-0.041730114864225,0.967716086656774,0.983464208282136,-6.13482630183391,"M","gse225158"
"BAZ1B",0.00357356030340807,6.02494401435293,0.0416997688830499,0.967739548122509,0.983464208282136,-6.8041360832003,"M","gse225158"
"LDLR",0.00780740046534506,2.32668253572806,0.0416778006799768,0.967756532476108,0.983464208282136,-6.43299849560638,"M","gse225158"
"AC079753.2",-0.0203394945123106,-3.24213971843887,-0.0414237830696257,0.967952923263911,0.98362417075292,-5.49413394482108,"M","gse225158"
"HTR1D",-0.00956045117253941,-0.645690829161149,-0.0410668889874463,0.968228855725058,0.983797521074287,-5.92033879191275,"M","gse225158"
"AL158071.3",0.00404117205032129,2.90933242592864,0.041009882363593,0.968272930785972,0.983797521074287,-6.52961958247703,"M","gse225158"
"CA5B",0.00237939300119596,5.45781189521879,0.0409513067346336,0.968318219054359,0.983797521074287,-6.79825684299206,"M","gse225158"
"TAF5",0.00321323220537249,2.36192207841645,0.0409171765611349,0.96834460715771,0.983797521074287,-6.42241985445968,"M","gse225158"
"GNA14-AS1",0.0179380719341764,2.94070449221611,0.0409076572182402,0.968351967145374,0.983797521074287,-6.52901229827272,"M","gse225158"
"RPRD2",-0.00359034628351112,7.38521985075904,-0.0409005629259566,0.968357452179812,0.983797521074287,-6.77869296733559,"M","gse225158"
"SNRNP200",-0.00246979613748461,4.45438476415717,-0.0408124116478522,0.968425607512721,0.983827150169545,-6.74648947872287,"M","gse225158"
"SLCO1B7",0.00945266832477224,-1.62088446320842,0.0405411253408357,0.968635357852491,0.983992436936854,-5.76534386096145,"M","gse225158"
"DTX3",0.00317906077965648,3.59643379215446,0.0405011027080882,0.968666302357106,0.983992436936854,-6.64136725827424,"M","gse225158"
"ANKRD11",-0.00374416245467249,7.80541460973702,-0.0402971112588668,0.968824024347543,0.984091891669053,-6.76570542765365,"M","gse225158"
"AC100778.3",-0.0076901733043832,-0.861410406839408,-0.0401386023329498,0.968946581191901,0.984091891669053,-5.88491528811039,"M","gse225158"
"PRSS48",0.0125982948961369,2.40573400663717,0.0401229743700256,0.968958664557739,0.984091891669053,-6.43250753974925,"M","gse225158"
"AC108718.1",0.0109211835441264,-0.173860787276823,0.0400954977746644,0.968979909174041,0.984091891669053,-5.99389373411501,"M","gse225158"
"LINC02105",-0.00998111632180456,-2.0470014062334,-0.0400730833882971,0.96899723976272,0.984091891669053,-5.6817228309078,"M","gse225158"
"AC183088.3",0.0149983511824329,-2.32883245904854,0.0399752615799163,0.969072874851618,0.984091891669053,-5.64034185093058,"M","gse225158"
"HIST1H2BE",0.00463950159321831,1.5757595091096,0.0399225405188612,0.969113638518493,0.984091891669053,-6.27654609650745,"M","gse225158"
"MYL12B",0.00439147784532815,3.44406849320565,0.0398997755766885,0.96913124029035,0.984091891669053,-6.61728941667939,"M","gse225158"
"EPG5",-0.00229068330719426,6.1380336707792,-0.0398495542880924,0.969170071274485,0.984091891669053,-6.80431138113027,"M","gse225158"
"ATP5MPL",-0.00691390332428914,4.26192693201683,-0.0398444106303903,0.969174048343644,0.984091891669053,-6.7283568309802,"M","gse225158"
"AC138932.5",-0.0178273634489994,-1.25549771922473,-0.0398167949403466,0.969195400773365,0.984091891669053,-5.79967029973703,"M","gse225158"
