Gene	Mock_1	Mock_2	Mock_3	Morphine_1	Morphine_2	Morphine_3
Exoc2	521	393	485	620	552	692
Exoc3	784	607	699	777	629	839
Exoc3l	4	8	9	5	15	14
Exoc3l2	3	3	0	0	1	2
Exoc3l4	3	3	4	3	2	1
Exoc4	1303	891	1184	1303	1284	1595
Exoc5	879	602	699	803	624	917
Exoc6	239	180	202	208	260	261
Exoc6b	11194	8025	9176	11368	10790	13785
Exoc7	661	438	601	651	629	775
Exoc8	668	386	580	465	483	672
Exog	119	72	106	157	192	191
Exosc1	275	162	263	246	251	339
Exosc10	966	674	774	858	906	1124
Exosc2	194	104	152	166	178	252
Exosc3	130	75	83	101	85	120
Exosc4	92	70	74	94	67	83
Exosc5	65	56	60	82	81	98
Exosc7	173	99	151	139	148	162
Exosc8	211	180	189	189	179	236
Exosc9	196	132	148	177	155	200
Exph5	19	53	19	31	25	41
Ext1	213	151	174	229	205	288
Ext2	658	443	513	554	529	710
Extl1	25	22	39	49	33	53
Extl2	621	417	502	693	612	780
Extl3	1137	838	1015	936	831	961
Eya1	81	73	74	72	46	87
Eya2	5	16	22	20	15	23
Eya3	711	511	717	603	644	759
Eya4	62	54	49	53	52	66
Ezh1	2306	1572	2230	2229	2388	2831
Ezh2	435	327	401	448	375	469
Ezr	70	57	69	45	66	76
F10	1	7	4	3	3	8
F11	20	20	7	9	7	10
F11r	75	50	63	34	34	50
F12	3	2	0	0	4	5
F13a1	15	31	24	35	15	29
F13b	10	5	8	2	4	7
F2	20	22	13	14	11	22
F2r	33	28	24	23	18	29
F2rl1	11	12	7	13	9	15
F2rl2	5	7	8	3	2	4
F2rl3	3	5	2	1	2	2
F3	150	66	153	225	251	264
F420014N23Rik	31	28	31	26	33	44
F5	298	186	237	124	293	199
F630028O10Rik	6	10	4	6	6	8
F630040K05Rik	13	32	14	15	18	28
F630040L22Rik	1	1	4	2	2	9
F630206G17Rik	0	2	1	3	0	0
F7	2	6	0	3	4	1
F730016J06Rik	2	26	9	18	4	13
F730035M05Rik	2	4	6	0	1	1
F730035P03Rik	0	2	0	2	4	1
F730043M19Rik	20	31	21	19	13	18
F8	183	114	143	163	197	232
F830016B08Rik	18	15	13	14	7	21
F830045P16Rik	4	6	2	6	6	10
F830104G03Rik	0	4	1	0	0	1
F830208F22Rik	143	92	102	126	147	188
F8a	122	65	114	115	92	133
F9	4	9	7	8	4	7
F930015N05Rik	0	1	0	0	0	0
F930017D23Rik	10	13	14	9	17	14
FAM205A	0	0	0	0	0	0
FAS-AS1	0	0	0	0	0	0
FMR1-AS1_1	0	2	0	1	0	0
FMR1-AS1_2	0	0	0	0	0	0
FTX_1	1	0	0	0	0	0
FTX_2	1	2	10	0	1	5
FTX_3	0	1	0	0	0	0
FTX_5	0	0	0	0	0	0
Fa2h	18540	11932	16617	13805	14064	18364
Faah	1321	776	1219	1187	1240	1706
Fabp1	0	0	2	0	0	0
Fabp12	3	8	12	7	6	21
Fabp2	1	3	0	2	1	1
Fabp3	2	2	3	0	5	0
Fabp3-ps1	12	13	21	12	15	24
Fabp4	3	0	0	0	2	1
Fabp5	357	229	295	200	185	201
Fabp6	4	4	2	0	0	3
Fabp7	138	91	116	137	87	144
Fabp9	3	5	0	0	0	1
Fadd	171	133	159	116	160	244
Fads1	1631	1077	1448	1358	1394	1805
Fads2	227	126	177	185	169	235
Fads3	16	24	21	19	26	19
Fads6	1244	859	957	862	925	1181
Faf1	387	267	279	366	334	394
Faf2	563	379	510	520	483	624
Fah	1022	603	905	799	835	1037
Fahd1	76	44	60	65	57	84
Fahd2a	170	104	120	134	154	139
Faim	173	103	141	143	150	160
Faim2	5200	3192	4720	3893	4162	5250
Faim3	6	8	5	1	3	5
Fam101a	24	20	17	22	30	32
Fam101b	28	28	56	29	55	38
Fam102a	4442	3346	3720	3125	2943	4112
Fam102b	137	101	85	123	103	116
Fam103a1	156	117	169	146	141	185
Fam104a	125	108	115	105	151	160
Fam105a	34	20	29	8	13	25
Fam105b	139	80	101	140	125	211
Fam107a	1124	611	1101	3103	3432	4209
Fam107b	287	203	193	112	142	153
Fam109a	68	50	70	62	60	64
Fam109b	11	16	19	3	6	14
Fam110a	8	3	3	2	3	3
Fam110b	29	34	45	44	32	44
Fam110c	11	4	3	3	1	8
Fam111a	45	26	36	29	22	26
Fam114a1	30	23	40	24	19	22
Fam114a2	380	293	386	366	328	454
Fam115a	1060	762	892	770	692	962
Fam115c	10	19	21	11	14	21
Fam115e	16	14	26	11	24	29
Fam117a	89	72	73	46	53	78
Fam117b	877	663	842	2141	2081	2472
Fam118a	34	27	23	43	45	41
Fam118b	324	215	284	246	193	301
Fam120a	2488	1816	2071	1953	2041	2559
Fam120aos	129	86	158	99	133	139
Fam120b	566	450	562	484	466	596
Fam120c	719	463	619	647	554	711
Fam122a	207	139	187	191	261	272
Fam122b	427	265	356	390	336	415
Fam122c	4	3	1	1	0	2
Fam124a	20	21	10	18	13	24
Fam124b	6	17	12	5	3	8
Fam126a	483	408	476	367	346	422
Fam126b	497	376	482	490	497	680
Fam129a	36	53	22	24	25	23
Fam129b	126	89	104	45	50	47
Fam129c	8	7	3	5	2	7
Fam131a	31	28	38	27	31	32
Fam131b	638	378	562	565	556	745
Fam131c	3	5	5	2	3	7
Fam132a	29	22	28	19	16	31
Fam132b	15	22	20	17	22	27
Fam133b	565	353	495	549	542	594
Fam134a	1552	941	1343	1228	1124	1557
Fam134b	1287	786	1171	736	691	1079
Fam134c	828	497	677	555	454	650
Fam135a	643	472	511	544	614	717
Fam135b	14	22	16	16	14	18
Fam136a	18	18	23	19	20	20
Fam136b-ps	0	0	0	0	0	1
Fam13a	72	50	72	145	176	195
Fam13b	233	159	221	199	218	238
Fam13c	870	703	845	375	320	430
Fam149a	28	34	39	18	35	23
Fam149b	504	372	403	401	414	543
Fam150a	3	3	0	0	0	2
Fam150b	14	9	16	9	21	6
Fam151a	0	2	0	0	0	1
Fam151b	118	80	117	90	90	107
Fam154a	9	10	2	12	5	11
Fam154b	48	34	26	29	37	44
Fam155a	113	102	130	121	132	136
Fam159a	0	2	0	1	1	0
Fam159b	6	1	1	5	2	4
Fam160a1	43	29	28	29	28	33
Fam160a2	499	359	416	334	321	498
Fam160b1	604	527	625	577	571	797
Fam160b2	362	198	299	230	278	344
Fam161a	156	93	108	106	116	135
Fam161b	170	140	151	277	253	330
Fam162a	185	86	145	151	162	204
Fam162b	1	6	1	0	2	4
Fam163a	13	23	23	23	22	23
Fam163b	7	8	18	17	8	6
Fam166a	6	4	5	3	4	3
Fam166b	29	42	65	46	64	55
Fam167a	12	6	14	13	10	14
Fam167b	1	3	1	0	2	3
Fam168a	7426	4657	6746	5513	5498	7140
Fam168b	870	657	754	725	739	927
Fam169a	29	20	29	36	31	38
Fam169b	9	16	0	7	2	9
Fam170a	3	4	3	2	3	12
Fam170b	0	1	2	3	0	3
Fam171a1	946	653	811	779	949	1022
Fam171a2	10	19	14	11	6	8
Fam171b	7935	5140	6883	7869	7733	9742
Fam172a	520	319	402	473	384	541
Fam173a	143	86	126	117	127	125
Fam173b	160	197	202	118	99	173
Fam174a	477	236	416	330	369	439
Fam174b	5	6	1	2	2	7
Fam175a	229	161	243	228	206	346
Fam175b	379	204	271	333	290	331
Fam177a	0	0	0	0	1	2
Fam178a	1024	725	908	912	879	1084
Fam178b	27	13	40	21	21	25
Fam179a	5	17	16	2	6	4
Fam179b	956	601	768	1084	936	1132
