contrast,contrast_type,tf,activity,padj
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,NR3C1,2.905773761358513,0.045336927458614056
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,PAX6,3.662631059370776,0.006862990660496016
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,POU3F2,3.597883669845447,0.007722031042956915
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,RELA,4.7182758029589795,0.00019638816595566962
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,RUNX1,4.0758812234553,0.0017747349143351536
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,SCX,3.1805411715931817,0.024117215840436163
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,SIN3A,-3.6070048690610945,0.007722031042956915
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,SMAD1,3.6960123247408236,0.006853895457469537
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,SMAD4,3.041004958465567,0.03291325974749286
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,SMAD5,3.0444900780838022,0.03291325974749286
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,SP1,5.646606818964682,5.45045200436562e-06
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,SP3,3.3689773550697892,0.014569074407499872
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,SRF,2.99416067534942,0.03761088077315323
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,STAT1,5.516165538154183,5.761522495012014e-06
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,STAT3,5.216701268185923,2.4157690096546964e-05
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,TAF1,3.661583872522681,0.006862990660496016
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,TBP,2.9070025355736493,0.045336927458614056
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,TCF3,4.764414351062124,0.00017878315376316752
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,TFCP2,3.1950889261698125,0.024117215840436163
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,THRA,5.5555278020964876,5.761522495012014e-06
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,TP53,4.142717870618952,0.0015780498351027456
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,TRPS1,-4.210837332003067,0.0012889239655110008
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,YBX1,3.9367804079568427,0.003017794755922729
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ZBTB16,3.109159782003529,0.029311173471608578
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ZNF354C,3.5874931796839777,0.007722031042956915
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ZNF382,-4.599720843191156,0.0003102526973835305
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ZNF91,2.9214654624532432,0.04480661322995252
